Creature	Name	Item retained	Remove style
cbdriwz2	Drider Wizard	rndtre08	Slots
cbdriwz2	Drider Wizard	rndtre08	Items
cbdriwz3	Drider Wizard	none	Slots
cbdrwhm2	Drow High Handmaiden of Lolth	rndtre08	Slots
cbdrwhm2	Drow High Handmaiden of Lolth	rndtre08	Items
cbdrwhm3	Drow High Handmaiden of Lolth	none	Slots
cbdrwhp3	Drow High Priestess of Lolth	rndtre08	Slots
cbdrwhp3	Drow High Priestess of Lolth	rndtre08	Items
cbffcrw1	Nobleman	none	Slots
cbffcrw2	Noblewoman	rndtre06	Slots
cbffcrw2	Noblewoman	rndtre06	Items
cbgonast	Gonthril Astinar	rndtre07	Slots
cbgonast	Gonthril Astinar	rndtre07	Items
cbharpy1	Harpy	rndtre06	Slots
cbharpy1	Harpy	rndtre06	Items
cbharpy2	Harpy	rndtre08	Slots
cbharpy2	Harpy	rndtre08	Items
cbharpya	Harpy	none	Slots
cbharpyb	Harpy	rndtre06	Slots
cbharpyb	Harpy	rndtre06	Items
cbharpyc	Harpy	none	Slots
cbharpyd	Harpy	rndtre06	Slots
cbharpyd	Harpy	rndtre06	Items
cbharpyw	Harpy	none	Slots
cbharpyx	Harpy	rndtre06	Slots
cbharpyx	Harpy	rndtre06	Items
cbharpyy	Harpy	none	Slots
cbharpyz	Harpy	rndtre06	Slots
cbharpyz	Harpy	rndtre06	Items
cbhlvlnt	Valiant	none	Slots
cbldbuck	Lord Hammerhand Bucko	rndtre06	Slots
cbldbuck	Lord Hammerhand Bucko	rndtre06	Items
cblolth2	Avatar of Lolth	rndtre07	Slots
cblolth2	Avatar of Lolth	rndtre07	Items
cblybuck	Leeta Bucko	none	Slots
cbmalr6	Druid Bodyguard	rndtre01	Slots
cbmalr6	Druid Bodyguard	rndtre01	Items
cbmalr7	Apprentice Bodyguard	none	Slots
cbminto	Minto	rndtre07	Slots
cbminto	Minto	rndtre07	Items
cbnobl1w	Nobleman	rndtre06	Slots
cbnobl1w	Nobleman	rndtre06	Items
cbnobl2w	Noblewoman	rndtre08	Slots
cbnobl2w	Noblewoman	rndtre08	Items
cbnobl3w	Lord Ophal	rndtre08	Slots
cbnobl3w	Lord Ophal	rndtre08	Items
cbnobl4w	Nobleman	rndtre06	Slots
cbnobl4w	Nobleman	rndtre06	Items
cbnrt001	Northman	rndtre07	Slots
cbnrt001	Northman	rndtre07	Items
cbnrt002	Northman	rndtre07	Slots
cbnrt002	Northman	rndtre07	Items
cbnrt003	Northman	rndtre07	Slots
cbnrt003	Northman	rndtre07	Items
cbnrt004	Northman	rndtre07	Slots
cbnrt004	Northman	rndtre07	Items
cbnrt005	Northman	rndtre07	Slots
cbnrt005	Northman	rndtre07	Items
cbnrt010	Northman	rndtre07	Slots
cbnrt010	Northman	rndtre07	Items
cbnrt020	Northman Elder	rndtre07	Slots
cbnrt020	Northman Elder	rndtre07	Items
cbnrt025	Northman Elder	rndtre07	Slots
cbnrt025	Northman Elder	rndtre07	Items
cbowen03	Owen	rndtre01	Slots
cbowen03	Owen	rndtre01	Items
cbowen66	Owen	rndtre01	Slots
cbowen66	Owen	rndtre01	Items
cbrrrpip	Piper	rndtre06	Slots
cbrrrpip	Piper	rndtre06	Items
cbrtbda2	Bandit	rndtre06	Slots
cbrtbda2	Bandit	rndtre06	Items
cbrtbda3	Bandit	rndtre08	Slots
cbrtbda3	Bandit	rndtre08	Items
cbrtbdb2	Bandit	rndtre06	Slots
cbrtbdb2	Bandit	rndtre06	Items
cbrtbdb3	Bandit	rndtre08	Slots
cbrtbdb3	Bandit	rndtre08	Items
cbrtbdc2	Bandit	rndtre06	Slots
cbrtbdc2	Bandit	rndtre06	Items
cbrtbdc3	Bandit	none	Slots
cbrtbdd2	Bandit	rndtre06	Slots
cbrtbdd2	Bandit	rndtre06	Items
cbrtbdd3	Bandit	rndtre08	Slots
cbrtbdd3	Bandit	rndtre08	Items
cbrtbde2	Bandit	rndtre06	Slots
cbrtbde2	Bandit	rndtre06	Items
cbrtbde3	Bandit	rndtre08	Slots
cbrtbde3	Bandit	rndtre08	Items
cbrtbdg2	Bandit	none	Slots
cbrtbdg3	Bandit	none	Slots
cbrtbdh2	Bandit	rndtre06	Slots
cbrtbdh2	Bandit	rndtre06	Items
cbrtbdh3	Bandit	rndtre08	Slots
cbrtbdh3	Bandit	rndtre08	Items
cbrtbdi2	Bandit	rndtre06	Slots
cbrtbdi2	Bandit	rndtre06	Items
cbrtbdi3	Bandit	rndtre08	Slots
cbrtbdi3	Bandit	rndtre08	Items
cbrtbdj2	Bandit	none	Slots
cbrtbdj3	Bandit	none	Slots
cbrtbdk2	Bandit	rndtre06	Slots
cbrtbdk2	Bandit	rndtre06	Items
cbrtbdk3	Bandit	rndtre08	Slots
cbrtbdk3	Bandit	rndtre08	Items
cbrtrbda	Squad Leader	rndtre07	Slots
cbrtrbda	Squad Leader	rndtre07	Items
cbrtrbdb	Squad Leader	rndtre07	Slots
cbrtrbdb	Squad Leader	rndtre07	Items
cbrtrbdc	Squad Leader	rndtre07	Slots
cbrtrbdc	Squad Leader	rndtre07	Items
cbrtrbdd	Squad Leader	none	Slots
cbrtrbde	Squad Leader	rndtre07	Slots
cbrtrbde	Squad Leader	rndtre07	Items
cbrtrbdf	Squad Leader	rndtre07	Slots
cbrtrbdf	Squad Leader	rndtre07	Items
cbrtrbdg	Squad Leader	rndtre07	Slots
cbrtrbdg	Squad Leader	rndtre07	Items
cbrtrbdh	Squad Leader	rndtre07	Slots
cbrtrbdh	Squad Leader	rndtre07	Items
cbrtrbdi	Squad Leader	rndtre07	Slots
cbrtrbdi	Squad Leader	rndtre07	Items
cbrtrbdj	Squad Leader	none	Slots
cbrtrbdk	Squad Leader	rndtre07	Slots
cbrtrbdk	Squad Leader	rndtre07	Items
cbsbin64	Johan Branding	rndtre06	Slots
cbsbin64	Johan Branding	rndtre06	Items
cbsbtvra	Soubar Villager	rndtre06	Slots
cbsbtvra	Soubar Villager	rndtre06	Items
cbsbtvrb	Soubar Villager	rndtre07	Slots
cbsbtvrb	Soubar Villager	rndtre07	Items
cbsbtvrf	Soubar Villager	none	Slots
cbsbtvrh	Soubar Villager	none	Slots
cbsbtvri	Soubar Villager	rndtre07	Slots
cbsbtvri	Soubar Villager	rndtre07	Items
cbsbtvrm	Soubar Villager	rndtre06	Slots
cbsbtvrm	Soubar Villager	rndtre06	Items
cbsbtvro	Soubar Villager	rndtre07	Slots
cbsbtvro	Soubar Villager	rndtre07	Items
cbsbwt64	Susan Branding	none	Slots
cbsbwt67	Jill Ann Kross	rndtre06	Slots
cbsbwt67	Jill Ann Kross	rndtre06	Items
cbsccw01	Cowled Wizard	none	Slots
cbsccw02	Cowled Wizard	rndtre08	Slots
cbsccw02	Cowled Wizard	rndtre08	Items
cbsccwen	Cowled Wizard	none	Slots
cbshdrun	Shadow Thief	rndtre01	Slots
cbshdrun	Shadow Thief	rndtre01	Items
cbst0103	Shadow Thief	rndtre01	Slots
cbst0103	Shadow Thief	rndtre01	Items
cbst0166	Shadow Thief	rndtre01	Slots
cbst0166	Shadow Thief	rndtre01	Items
cbst0203	Shadow Thief	rndtre01	Slots
cbst0203	Shadow Thief	rndtre01	Items
cbst0266	Shadow Thief	rndtre01	Slots
cbst0266	Shadow Thief	rndtre01	Items
cbst0303	Shadow Thief	none	Slots
cbst0366	Shadow Thief	rndtre01	Slots
cbst0366	Shadow Thief	rndtre01	Items
cbst0403	Shadow Thief	rndtre01	Slots
cbst0403	Shadow Thief	rndtre01	Items
cbst0466	Shadow Thief	none	Slots
cbst0503	Shadow Thief	rndtre01	Slots
cbst0503	Shadow Thief	rndtre01	Items
cbst0566	Shadow Thief	rndtre01	Slots
cbst0566	Shadow Thief	rndtre01	Items
cbstks66	Shadow Thief	rndtre01	Slots
cbstks66	Shadow Thief	rndtre01	Items
cbsurayw	Surayah	rndtre06	Slots
cbsurayw	Surayah	rndtre06	Items
cbtaxcol	Tax Collector	rndtre08	Slots
cbtaxcol	Tax Collector	rndtre08	Items
cbtaxtwc	Town Crier	rndtre07	Slots
cbtaxtwc	Town Crier	rndtre07	Items
cbtreant	Treant	rndtre06	Slots
cbtreant	Treant	rndtre06	Items
cbtriel0	Triel Villager	rndtre06	Slots
cbtriel0	Triel Villager	rndtre06	Items
cbtriel1	Triel Villager	rndtre06	Slots
cbtriel1	Triel Villager	rndtre06	Items
cbtriel2	Triel Villager	none	Slots
cbtriel3	Triel Villager	rndtre06	Slots
cbtriel3	Triel Villager	rndtre06	Items
cbtriel4	Triel Villager	rndtre06	Slots
cbtriel4	Triel Villager	rndtre06	Items
cbtriel5	Triel Villager	rndtre06	Slots
cbtriel5	Triel Villager	rndtre06	Items
cbtriel6	Triel Villager	rndtre06	Slots
cbtriel6	Triel Villager	rndtre06	Items
cbtriel7	Triel Villager	rndtre06	Slots
cbtriel7	Triel Villager	rndtre06	Items
cbtriel8	Triel Villager	rndtre06	Slots
cbtriel8	Triel Villager	rndtre06	Items
cbtriel9	Triel Villager	rndtre06	Slots
cbtriel9	Triel Villager	rndtre06	Items
cbvinnie	Vincenzo the Innkeep	rndtre06	Slots
cbvinnie	Vincenzo the Innkeep	rndtre06	Items
cbwillet	Willet the Stableboy	rndtre06	Slots
cbwillet	Willet the Stableboy	rndtre06	Items
cbzomb02	Dread Warrior	none	Slots
cbzombd2	Dread Warrior	rndwep06	Slots
cbzombd2	Dread Warrior	rndwep06	Items
ccguard2	Copper Coronet Guard	none	Slots
cefgt01	Shadow Druid	rndtre07	Slots
cefgt01	Shadow Druid	rndtre07	Items
cefgt03	Adherent	rndtre06	Slots
cefgt03	Adherent	rndtre06	Items
chak	Chak	none	Slots
chevil03	Ogre Mage	rndtre08	Slots
chevil03	Ogre Mage	rndtre08	Items
chuyol	Chu'yol	rndtre07	Slots
chuyol	Chu'yol	rndtre07	Items
clelun01	Eluno	rndtre06	Slots
clelun01	Eluno	rndtre06	Items
clfjmp	Lord Jumpalota	rndtre07	Slots
clfjmp	Lord Jumpalota	rndtre07	Items
clmalg01	Malario Soldier	none	Slots
cltcut03	Elite Guard	rndtre06	Slots
cltcut03	Elite Guard	rndtre06	Items
cltiva01	Ti'Vael	rndtre07	Slots
cltiva01	Ti'Vael	rndtre07	Items
cmggo1	Goblin	rndtre06	Slots
cmggo1	Goblin	rndtre06	Items
cmgnol01	Gnoll Clan Leader	none	Slots
cmgnol02	Gnoll Clan Guard	none	Slots
cmgnol03	Gnoll Elite Warrior	none	Items
cmgnol04	Gnoll Veteran Warrior	rndtre06	Slots
cmgnol04	Gnoll Veteran Warrior	rndtre06	Items
cmhob01	Hobgoblin	none	Slots
cmhob03	Hobgoblin General	rndtre07	Slots
cmhob03	Hobgoblin General	rndtre07	Items
cmkfc01	"The Colonel"	rndtre06	Slots
cmkfc01	"The Colonel"	rndtre06	Items
cmlog03	Ogre	none	Slots
cmlog04	Ogre Mage	rndtre08	Slots
cmlog04	Ogre Mage	rndtre08	Items
cmlordas	Lord Ashram	rndtre06	Slots
cmlordas	Lord Ashram	rndtre06	Items
cmogregu	Half Ogre Guard	rndtre07	Slots
cmogregu	Half Ogre Guard	rndtre07	Items
cmogrem1	Ogre Mage	none	Slots
cmske03	Skeleton	rndtre08	Slots
cmske03	Skeleton	rndtre08	Items
cmske04	Skeleton	rndtre08	Slots
cmske04	Skeleton	rndtre08	Items
cohrvale	Cohrvale	rndtre08	Slots
cohrvale	Cohrvale	rndtre08	Items
copcust2	Commoner	none	Slots
copcust3	Nobleman	rndtre06	Slots
copcust3	Nobleman	rndtre06	Items
copgreet	Frankie	none	Slots
cor	Cor Delryn	rndtre08	Slots
cor	Cor Delryn	rndtre08	Items
corgeig	Corgeig Axehand	rndtre07	Slots
corgeig	Corgeig Axehand	rndtre07	Items
cowenf1	Cowled Enforcer	rndtre08	Slots
cowenf1	Cowled Enforcer	rndtre08	Items
cowenf3	Cowled Enforcer	rndtre08	Slots
cowenf3	Cowled Enforcer	rndtre08	Items
cowled	Cowled Wizard	rndtre08	Slots
cowled	Cowled Wizard	rndtre08	Items
crthf03	Rilmi	rndtre06	Slots
crthf03	Rilmi	rndtre06	Items
cuguard	Baragh	rndtre06	Slots
cuguard	Baragh	rndtre06	Items
cultmo10	Ettin	rndtre07	Slots
cultmo10	Ettin	rndtre07	Items
cupris1	Elven Warrior	rndtre06	Slots
cupris1	Elven Warrior	rndtre06	Items
cupris2	Elven Warrior	rndtre06	Slots
cupris2	Elven Warrior	rndtre06	Items
cwshen	Hendak	rndtre07	Slots
cwshen	Hendak	rndtre07	Items
cwssal	Salvanas	rndtre07	Slots
cwssal	Salvanas	rndtre07	Items
cyclead	Cyclops Leader	rndtre07	Slots
cyclead	Cyclops Leader	rndtre07	Items
cyclop	Cyclops	rndtre06	Slots
cyclop	Cyclops	rndtre06	Items
cyclop2	Cyclops	rndtre06	Slots
cyclop2	Cyclops	rndtre06	Items
cyclop3	Cyclops	none	Slots
cyclop4	Cyclops	none	Slots
d0debt3	Debt Collector	rndtre08	Slots
d0debt3	Debt Collector	rndtre08	Items
d0guard4	Sanctioned Wizard	rndtre08	Slots
d0guard4	Sanctioned Wizard	rndtre08	Items
d0lender	Celile	rndtre06	Slots
d0lender	Celile	rndtre06	Items
d0poor	Moiya	rndtre06	Slots
d0poor	Moiya	rndtre06	Items
d0qpback	Cowled Escort	none	Slots
d0qppotn	Jadarath	rndtre06	Slots
d0qppotn	Jadarath	rndtre06	Items
d0qpsy01	Sythillisian Soldier	rndtre08	Slots
d0qpsy01	Sythillisian Soldier	rndtre08	Items
d0qpsy02	Sythillisian Soldier	rndtre08	Slots
d0qpsy02	Sythillisian Soldier	rndtre08	Items
d0qpsy03	Sythillisian Soldier	rndtre08	Slots
d0qpsy03	Sythillisian Soldier	rndtre08	Items
d0qpsy05	Sythillisian Soldier	rndtre08	Slots
d0qpsy05	Sythillisian Soldier	rndtre08	Items
d0qpsy06	Sythillisian Soldier	rndtre08	Slots
d0qpsy06	Sythillisian Soldier	rndtre08	Items
d0qpsy07	Sythillisian Soldier	rndtre08	Slots
d0qpsy07	Sythillisian Soldier	rndtre08	Items
d0qpsy08	Sythillisian Soldier	none	Slots
d0thug4	Pirate Bodyguard	rndtre06	Slots
d0thug4	Pirate Bodyguard	rndtre06	Items
dadrow3	Drow Slave Trader	rndtre07	Slots
dadrow3	Drow Slave Trader	rndtre07	Items
dagnoll	Gnoll	rndtre08	Slots
dagnoll	Gnoll	rndtre08	Items
danno	Danno Fairfoot	rndtre06	Slots
danno	Danno Fairfoot	rndtre06	Items
darorc2	Orc Bandit	rndtre07	Slots
darorc2	Orc Bandit	rndtre07	Items
darorc3	Orc Bandit	rndtre07	Slots
darorc3	Orc Bandit	rndtre07	Items
dd1700wi	Slurice	rndtre08	Slots
dd1700wi	Slurice	rndtre08	Items
ddhall01	Krent	rndtre07	Slots
ddhall01	Krent	rndtre07	Items
degard	Degardan	rndtre08	Slots
degard	Degardan	rndtre08	Items
delcia	Lady Delcia Caan	rndtre07	Slots
delcia	Lady Delcia Caan	rndtre07	Items
delei	Delei	rndtre07	Slots
delei	Delei	rndtre07	Items
delnob01	Nobleman	rndtre06	Slots
delnob01	Nobleman	rndtre06	Items
delnob02	Noblewoman	rndtre06	Slots
delnob02	Noblewoman	rndtre06	Items
demfig01	Falahar	none	Slots
demfig02	Valeria	none	Slots
desmage	Desperado Mage	rndtre08	Slots
desmage	Desperado Mage	rndtre08	Items
dhalf1	Halfling Man	none	Slots
dharlot1	Harlot	none	Slots
dinanmum	Johanna	rndtre06	Slots
dinanmum	Johanna	rndtre06	Items
dinmum2	Johanna	none	Slots
dmark1	Fovem	none	Slots
dmask1	Commoner	rndtre06	Slots
dmask1	Commoner	rndtre06	Items
docsol01	Amnish Soldier	rndtre06	Slots
docsol01	Amnish Soldier	rndtre06	Items
docsol02	Barracks Guard	none	Slots
dopcle01	Kiel the Legion Killer	rndtre08	Slots
dopcle01	Kiel the Legion Killer	rndtre08	Items
dopgre01	Greater Doppelganger	rndtre08	Slots
dopgre01	Greater Doppelganger	rndtre08	Items
dopple01	Doppelganger	rndtre08	Slots
dopple01	Doppelganger	rndtre08	Items
dragbr1	Gnoll	rndtre08	Slots
dragbr1	Gnoll	rndtre08	Items
draug	Draug Fea	none	Slots
drow01	Drow Warrior	rndtre01	Slots
drow01	Drow Warrior	rndtre01	Items
drow02	Drow Warrior	none	Slots
drow03	Drow Wizard	none	Slots
drow04	Drow Priestess	none	Slots
drow05	Drow	rndtre06	Slots
drow05	Drow	rndtre06	Items
drow06	Drow	none	Slots
drow07	Drow Priestess	rndtre06	Slots
drow07	Drow Priestess	rndtre06	Items
druff1	Ruffian	rndtre06	Slots
druff1	Ruffian	rndtre06	Items
druff2	Ruffian	rndtre06	Slots
druff2	Ruffian	rndtre06	Items
drush	Drush	rndtre08	Slots
drush	Drush	rndtre08	Items
dsailor1	Sailor	rndtre07	Slots
dsailor1	Sailor	rndtre07	Items
dsailor2	Sailor	rndtre07	Slots
dsailor2	Sailor	rndtre07	Items
dsarchdr	The Arch Druid	none	Slots
dsgnollc	Gnoll Chieftan	rndtre06	Slots
dsgnollc	Gnoll Chieftan	rndtre06	Items
dsgobchf	Goblin Chief	rndtre06	Slots
dsgobchf	Goblin Chief	rndtre06	Items
dsgrunk	Grog	rndtre06	Slots
dsgrunk	Grog	rndtre06	Items
dshalf01	Gandolar Luckyfoot	rndtre08	Slots
dshalf01	Gandolar Luckyfoot	rndtre08	Items
dshalf02	Halfling Fighter	rndtre08	Slots
dshalf02	Halfling Fighter	rndtre08	Items
dshalf03	Halfling Fighter	rndtre08	Slots
dshalf03	Halfling Fighter	rndtre08	Items
dshalfd2	Halfling Fighter	rndtre08	Slots
dshalfd2	Halfling Fighter	rndtre08	Items
dshop01	Ikert	rndtre07	Slots
dshop01	Ikert	rndtre07	Items
dsorc01	Orc	rndtre07	Slots
dsorc01	Orc	rndtre07	Items
dw#abrop	Merchant	rndtre07	Slots
dw#abrop	Merchant	rndtre07	Items
dw#c3hb	Hobgoblin Elite	none	Slots
dw#mulka	Kobold	rndtre06	Slots
dw#mulka	Kobold	rndtre06	Items
dw#oghob	Hobgoblin Elite	rndtre07	Slots
dw#oghob	Hobgoblin Elite	rndtre07	Items
dw#refg1	Bandit	rndtre06	Slots
dw#refg1	Bandit	rndtre06	Items
dw#trl01	Troll	rndtre08	Slots
dw#trl01	Troll	rndtre08	Items
dw#trlbl	Blizzard Troll	none	Slots
dw#trlde	Desert Troll	rndtre08	Slots
dw#trlde	Desert Troll	rndtre08	Items
dw#trlfr	Troll	none	Slots
dw#trlgi	Giant Troll	rndtre08	Slots
dw#trlgi	Giant Troll	rndtre08	Items
dw#trlic	Ice Troll	rndtre08	Slots
dw#trlic	Ice Troll	rndtre08	Items
dw#trlsi	Spirit Troll	rndtre08	Slots
dw#trlsi	Spirit Troll	rndtre08	Items
dw#tygol	Tyrant Golem	none	Slots
e3eriale	Eriale	none	Slots
e3sume	Sume	none	Slots
egald1	Edomis Galdenburg	rndtre07	Slots
egald1	Edomis Galdenburg	rndtre07	Items
egald2	Edomis Galdenburg	none	Slots
egald3	Edomis Galdenburg	rndtre07	Slots
egald3	Edomis Galdenburg	rndtre07	Items
elehob01	Goblin Commando	rndtre07	Slots
elehob01	Goblin Commando	rndtre07	Items
elotte	Squire Elotte	rndtre06	Slots
elotte	Squire Elotte	rndtre06	Items
ermag1	Castle Mage	none	Slots
ermag2	Castle Mage	rndtre06	Slots
ermag2	Castle Mage	rndtre06	Items
ermag3	Castle Mage	none	Slots
ermag4	Castle Mage	none	Slots
esath	Esath	rndtre07	Slots
esath	Esath	rndtre07	Items
esath2	Esath	rndtre07	Slots
esath2	Esath	rndtre07	Items
esath3	Esath	none	Slots
escort2	Kerstia	rndtre06	Slots
escort2	Kerstia	rndtre06	Items
escort2a	Kerstia	rndtre06	Slots
escort2a	Kerstia	rndtre06	Items
etter01	Ettercap	rndtre07	Slots
etter01	Ettercap	rndtre07	Items
ettin	Ettin	rndtre07	Slots
ettin	Ettin	rndtre07	Items
etting	Greater Ettin	none	Slots
etting2	Greater Ettin	none	Slots
f_gobele	Goblin Elite	rndtre06	Slots
f_gobele	Goblin Elite	rndtre06	Items
f_goblin	Goblin	none	Slots
f_harpy	Harpy	none	Slots
f_medusa	Medusa	rndtre08	Slots
f_medusa	Medusa	rndtre08	Items
f_orc	Orc	rndtre07	Slots
f_orc	Orc	rndtre07	Items
ffbart	Samuel Thunderburp	rndtre07	Slots
ffbart	Samuel Thunderburp	rndtre07	Items
ffcrowd1	Nobleman	rndtre06	Slots
ffcrowd1	Nobleman	rndtre06	Items
ffcrowd2	Noblewoman	rndtre06	Slots
ffcrowd2	Noblewoman	rndtre06	Items
ffcust05	Tavern Patron	rndtre06	Slots
ffcust05	Tavern Patron	rndtre06	Items
ffcust06	Belle	rndtre06	Slots
ffcust06	Belle	rndtre06	Items
ffcust07	H'rothgar Firehammer	none	Slots
ffcust08	Jerry Jamtoes	rndtre06	Slots
ffcust08	Jerry Jamtoes	rndtre06	Items
ffcust09	Lord Sterk	rndtre06	Slots
ffcust09	Lord Sterk	rndtre06	Items
ffwench	Thalia Thunderburp	none	Slots
firamb02	Gerg	none	Slots
firban04	Orc	rndtre08	Slots
firban04	Orc	rndtre08	Items
firban05	Orc	rndtre08	Slots
firban05	Orc	rndtre08	Items
firorc02	Derg the Orc	rndtre08	Slots
firorc02	Derg the Orc	rndtre08	Items
frostgg	Greater Frost Giant	rndtre07	Slots
frostgg	Greater Frost Giant	rndtre07	Items
frostgi	Frost Giant	rndtre07	Slots
frostgi	Frost Giant	rndtre07	Items
frostgi2	Frost Giant	rndtre07	Slots
frostgi2	Frost Giant	rndtre07	Items
frostgi3	Frost Giant	rndtre06	Slots
frostgi3	Frost Giant	rndtre06	Items
frostgi4	Frost Giant	none	Slots
frostham	Garth Frosthammer	rndtre07	Slots
frostham	Garth Frosthammer	rndtre07	Items
fshorde1	Goblin	rndtre06	Slots
fshorde1	Goblin	rndtre06	Items
fshorde3	Goblin	none	Slots
fshorde4	Orc	rndtre07	Slots
fshorde4	Orc	rndtre07	Items
fshorde6	Orc Archer	rndtre07	Slots
fshorde6	Orc Archer	rndtre07	Items
ftown7	Tavern Patron	rndtre06	Slots
ftown7	Tavern Patron	rndtre06	Items
fyual	Greater Yuan-Ti Leader	rndtre08	Slots
fyual	Greater Yuan-Ti Leader	rndtre08	Items
fyuam	Greater Yuan-Ti Mage	rndtre06	Slots
fyuam	Greater Yuan-Ti Mage	rndtre06	Items
g3maid	Barmaid	rndtre06	Slots
g3maid	Barmaid	rndtre06	Items
g3mrsgtu	Mrs. The Unmanned	none	Slots
g3sailr1	Sailor	none	Slots
g3sailr2	Sailor	rndtre06	Slots
g3sailr2	Sailor	rndtre06	Items
g3sailr3	Sailor	none	Slots
gaidan	Gaidan	rndtre08	Slots
gaidan	Gaidan	rndtre08	Items
gaidan2	Gaidan	none	Slots
gall	Gallchobhair	rndtre08	Slots
gall	Gallchobhair	rndtre08	Items
gamguy	Gamesman	rndtre06	Slots
gamguy	Gamesman	rndtre06	Items
garkid01	Iltha	none	Slots
garkid02	Taar	none	Slots
gbhrep1e	Mage	rndtre08	Slots
gbhrep1e	Mage	rndtre08	Items
gemfar02	Erlin Hendrick	rndtre06	Slots
gemfar02	Erlin Hendrick	rndtre06	Items
gemjeb01	Jeb	rndtre06	Slots
gemjeb01	Jeb	rndtre06	Items
gfigh05	Calahan	rndtre06	Slots
gfigh05	Calahan	rndtre06	Items
ggiantf1	Greater Fire Giant	rndtre07	Slots
ggiantf1	Greater Fire Giant	rndtre07	Items
ggiantf2	Greater Fire Giant	rndtre07	Slots
ggiantf2	Greater Fire Giant	rndtre07	Items
ggiantf3	Greater Fire Giant	rndtre07	Slots
ggiantf3	Greater Fire Giant	rndtre07	Items
ggiantfr	Greater Fire Giant	none	Slots
ghereg	Ghereg	none	Slots
gholor01	Ghoul Lord	rndtre08	Slots
gholor01	Ghoul Lord	rndtre08	Items
ghoul	Ghoul	rndtre01	Slots
ghoul	Ghoul	rndtre01	Items
giantfr	Fire Giant	none	Slots
gibmut01	Mutated Gibberling	rndtre06	Slots
gibmut01	Mutated Gibberling	rndtre06	Items
gnlcap01	Gnoll Captain	rndtre08	Slots
gnlcap01	Gnoll Captain	rndtre08	Items
gnleli01	Gnoll Elite	rndtre08	Slots
gnleli01	Gnoll Elite	rndtre08	Items
gnlfli01	Flind	rndtre08	Slots
gnlfli01	Flind	rndtre08	Items
gnlsla01	Gnoll Slasher	rndtre06	Slots
gnlsla01	Gnoll Slasher	rndtre06	Items
gnlvet01	Gnoll Veteran	rndtre06	Slots
gnlvet01	Gnoll Veteran	rndtre06	Items
gnlwar01	Gnoll	none	Slots
gnoblef1	Noblewoman	none	Slots
gnoblef2	Noblewoman	rndtre07	Slots
gnoblef2	Noblewoman	rndtre07	Items
gnoblem1	Nobleman	rndtre06	Slots
gnoblem1	Nobleman	rndtre06	Items
gnoblem2	Nobleman	rndtre06	Slots
gnoblem2	Nobleman	rndtre06	Items
gnoll01	Gnoll	none	Slots
gnoll02	Gnoll	none	Slots
gnoll03	Gnoll	rndtre06	Slots
gnoll03	Gnoll	rndtre06	Items
gnoll3	Gnoll	rndtre06	Slots
gnoll3	Gnoll	rndtre06	Items
gnollhp1	Gnoll	rndtre08	Slots
gnollhp1	Gnoll	rndtre08	Items
goblinsp	Crazy Goblin Marshal	rndtre06	Slots
goblinsp	Crazy Goblin Marshal	rndtre06	Items
godxva1	Xvart	rndtre06	Slots
godxva1	Xvart	rndtre06	Items
godxva2	Xvart	none	Slots
godxva3	Xvart	rndtre06	Slots
godxva3	Xvart	rndtre06	Items
goliro01	Iron Golem	rndtre08	Slots
goliro01	Iron Golem	rndtre08	Items
goljug01	Juggernaut Golem	none	Slots
golkill2	Adamantite Golem	none	Slots
goralu01	Alu-Fiend	rndtre07	Slots
goralu01	Alu-Fiend	rndtre07	Items
gorcamb	Aesgareth	none	Slots
gorcamb2	Tiefling	rndtre08	Slots
gorcamb2	Tiefling	rndtre08	Items
gorcamb4	Tiefling	rndtre08	Slots
gorcamb4	Tiefling	rndtre08	Items
gorcamb5	Tiefling	rndtre08	Slots
gorcamb5	Tiefling	rndtre08	Items
gorch	Gorch	rndtre06	Slots
gorch	Gorch	rndtre06	Items
gorje	Gorje Hilldark	rndtre07	Slots
gorje	Gorje Hilldark	rndtre07	Items
gororc01	Orc	rndtre07	Slots
gororc01	Orc	rndtre07	Items
gororc02	Orc Archer	rndtre07	Slots
gororc02	Orc Archer	rndtre07	Items
gorwom01	Nalmissra	rndtre08	Slots
gorwom01	Nalmissra	rndtre08	Items
gorwom04	Ameralis Zauviir	rndtre08	Slots
gorwom04	Ameralis Zauviir	rndtre08	Items
gpfight1	Boz	rndtre06	Slots
gpfight1	Boz	rndtre06	Items
gphil02	Philosopher	rndtre06	Slots
gphil02	Philosopher	rndtre06	Items
gpsimb	Simbja	rndtre06	Slots
gpsimb	Simbja	rndtre06	Items
gromg07	Il-Khan Soldier	rndtre08	Slots
gromg07	Il-Khan Soldier	rndtre08	Items
gromg10	Berena Elkan	rndtre08	Slots
gromg10	Berena Elkan	rndtre08	Items
gtcit1	Ghoul	rndtre08	Slots
gtcit1	Ghoul	rndtre08	Items
gtcit2	Ghoul	rndtre08	Slots
gtcit2	Ghoul	rndtre08	Items
guard1	Bouncer	rndtre08	Slots
guard1	Bouncer	rndtre08	Items
guard2	Copper Coronet Guard	rndtre08	Slots
guard2	Copper Coronet Guard	rndtre08	Items
guard3	Copper Coronet Guard	rndtre08	Slots
guard3	Copper Coronet Guard	rndtre08	Items
gzombie	I had some more questions about Kuldahar.	rndtre08	Slots
