CRE	Name	OrigGold	NewGold
cb597ris	Ranch Hand	87	63
cbacso01	Bandit	94	69
cbacso02	Bandit	94	69
cbacso03	Bandit	94	69
cbacso04	Bandit	94	69
cbacso05	Bandit	94	69
cbacso06	Bandit	94	69
cbacso07	Bandit	94	69
cbacso08	Bandit	94	69
cbacso09	Bandit	94	69
cbacso10	Bandit	94	69
cbacso11	Bandit	94	69
cbacso12	Bandit	94	69
cbacso13	Bandit	94	69
cbacso14	Bandit	94	69
cbacso15	Bandit	94	69
cbacso16	Bandit	94	69
cbacso17	Bandit	94	69
cbacso18	Bandit	94	69
cbacso19	Bandit	94	69
cbacso20	Bandit	94	69
cbarkslv	Arkaneus Silvermane	112	84
cbarvin1	Lord Arvin Kothonos: Mage of Soubar	245	183
cbavrvla	Angry Villager	4	3
cbavrvlb	Angry Villager	4	3
cbavrvlc	Angry Villager	4	3
cbavrvld	Angry Villager	4	3
cbavrvle	Angry Villager	4	3
cbavrvlf	Angry Villager	4	3
cbavrvlg	Angry Villager	4	3
cbavrvlh	Angry Villager	4	3
cbavrvli	Angry Villager	4	3
cbavrvlj	Angry Villager	4	3
cbavrvlk	Angry Villager	4	3
cbavrvlm	Angry Villager	4	3
cbc8ctl4	Cult Lich	20000	15000
cbc8ctm2	Cult Mage	25	18
cbchrran	Ranger	46	33
cbcutat0	Bandit	95	69
cbcutat1	Bandit	95	69
cbcutat2	Bandit	95	69
cbcutat3	Bandit	95	69
cbcutat4	Bandit	95	69
cbcutat5	Bandit	95	69
cbcutat6	Bandit	95	69
cbcutat7	Bandit	95	69
cbcutat8	Bandit	95	69
cbcutat9	Bandit	95	69
cbcutata	Bandit	95	69
cbcutatb	Bandit	95	69
cbcutatc	Bandit	95	69
cbcutatd	Bandit	95	69
cbdddrge	Deep Dragon: Drake	12000	9000
cbdragdp	Deep Dragon: Drake	12000	9000
cbdrt70a	Dart Player	11	6
cbdrw75a	Drow Priestess	20	15
cbdrw75b	Drow Priestess	50	36
cbdrw75c	Drow Warrior	10	6
cbdrwfm1	Drow Warrior	80	60
cbdrwfm2	Drow Warrior	80	60
cbdrwfm3	Drow Warrior	80	60
cbdrwfr2	Drow Warrior	150	111
cbdrwfr3	Drow Warrior	150	111
cbdrww11	Drow Wizard	250	186
cbdrww13	Drow Wizard	250	186
cbdrww21	Drow Wizard	250	186
cbdrww23	Drow Wizard	250	186
cbeledi1	Eleanor Ybgir	3130	2346
cbeledi3	Bodyguard	39	27
cbffcrw1	Nobleman	14	9
cbffcrw2	Noblewoman	13	9
cbffcrw3	Peasant	11	6
cbffcrw4	Commoner	4	3
cbgaelan	Gaelan Bayle	142	105
cbgaius1	Gaius Varros:  Paladin of Soubar	270	201
cbgalded	Angelo	66	48
cbgorcld	Gorion	58	42
cbgorded	Gorion	58	42
cbgortch	Gorion	58	42
cbhbso02	Bandit	94	69
cbhbso03	Bandit	94	69
cbhbso04	Bandit	94	69
cbhbso05	Bandit	94	69
cbhbso06	Bandit	94	69
cbhbso07	Bandit	94	69
cbhbso08	Bandit	94	69
cbhbso09	Bandit	94	69
cbhbso10	Bandit	94	69
cbhbso12	Bandit	94	69
cbhbso13	Bandit	94	69
cbhbso14	Bandit	94	69
cbhbso15	Bandit	94	69
cbhbso16	Bandit	94	69
cbhbso17	Bandit	94	69
cbhbso18	Bandit	94	69
cbhbso19	Bandit	94	69
cbhbso20	Bandit	94	69
cbhl3627	Shopkeeper	11	6
cbhl3631	Priest	11	6
cbhl3634	Shopkeeper	11	6
cbhld001	Peasant	11	6
cbhld002	Peasant	11	6
cbhld003	Peasant	11	6
cbhld004	Peasant	11	6
cbhld005	Peasant	11	6
cbhld006	Peasant	11	6
cbhld007	Peasant	11	6
cbhld008	Peasant	11	6
cbhld009	Peasant	11	6
cbhld010	Peasant	11	6
cbhld0m1	Peasant	11	6
cbhld0m2	Peasant	11	6
cbhld0m3	Peasant	11	6
cbhld0m4	Peasant	11	6
cbhld0m5	Peasant	11	6
cbhld0m6	Peasant	11	6
cbhld0m7	Peasant	11	6
cbhld0m8	Peasant	11	6
cbhld0m9	Peasant	11	6
cbhld0w1	Peasant	11	6
cbhld0w2	Peasant	11	6
cbhld0w3	Peasant	11	6
cbhld0w4	Peasant	11	6
cbhld0w5	Peasant	11	6
cbhld0w6	Peasant	11	6
cbhld0w7	Peasant	11	6
cbhredwn	Marilyn Haresdown	3040	2280
cbhultch	Hull	100	75
cbjahded	Jaheira	22	15
cbkahded	Khalid	14	9
cbkhaded	Khalid	14	9
cblnight	Lady Nightshade	308	231
cblslnda	Lawantha Silendia	8450	6336
cblybuck	Leeta Bucko	13	9
cbmalr2	Bodyguard	39	27
cbmanarb	Manfred Arbustle	14	9
cbmanver	Manveru	64	48
cbmekrth	Mekrath	25	18
cbminto	Minto	5	3
cbmondrp	Sylvanus Moondrop	1120	840
cbnarulf	Narulf	27	18
cbnobl2w	Noblewoman	13	9
cbnobl3w	Lord Ophal	82	60
cbphytch	Phlydia	92	69
cbprison	Prison Keeper	26	18
cbrdptbd	Bandit	94	69
cbrncher	Ranch Hand	87	63
cbrybrel	Uncle Donny	11	6
cbsaerkw	Saerk Farrahd	455	339
cbsbin64	Johan Branding	14	9
cbsbin75	Winthrop	26	18
cbsbtvra	Soubar Villager	7	3
cbsbtvrb	Soubar Villager	15	9
cbsbtvrd	Soubar Villager	4	3
cbsbtvre	Soubar Villager	11	6
cbsbtvrf	Soubar Villager	15	9
cbsbtvrh	Soubar Villager	7	3
cbsbtvri	Soubar Villager	15	9
cbsbtvrk	Soubar Villager	4	3
cbsbtvrl	Soubar Villager	11	6
cbsbtvrm	Soubar Villager	15	9
cbsbtvro	Soubar Villager	15	9
cbsbtvrp	Soubar Villager	11	6
cbsbvila	Soubar Villager	11	6
cbsbvilb	Soubar Villager	4	3
cbsbvlia	Soubar Villager	11	6
cbsbvlib	Soubar Villager	4	3
cbsbvliu	Soubar Villager	4	3
cbsbwt64	Susan Branding	13	9
cbsbwt67	Jill Ann Kross	10	6
cbsccwen	Cowled Wizard	25	18
cbsdso01	Bandit	94	69
cbsdso02	Bandit	94	69
cbsdso03	Bandit	94	69
cbsdso04	Bandit	94	69
cbsdso05	Bandit	94	69
cbsdso06	Bandit	94	69
cbsdso07	Bandit	94	69
cbsdso08	Bandit	94	69
cbsdso09	Bandit	94	69
cbsdso10	Bandit	94	69
cbsdso11	Bandit	94	69
cbsdso12	Bandit	94	69
cbsdso21	Bandit	94	69
cbsdso22	Bandit	94	69
cbsdso23	Bandit	94	69
cbsdso24	Bandit	94	69
cbsdso25	Bandit	94	69
cbsdso26	Bandit	94	69
cbsdso27	Bandit	94	69
cbsdso28	Bandit	94	69
cbsdso29	Bandit	94	69
cbsdso30	Bandit	94	69
cbsdso31	Bandit	94	69
cbsdso32	Bandit	94	69
cbsdso41	Bandit	94	69
cbsdso42	Bandit	94	69
cbsdso43	Bandit	94	69
cbsdso44	Bandit	94	69
cbsdso45	Bandit	94	69
cbsdso46	Bandit	94	69
cbsdso47	Bandit	94	69
cbsdso48	Bandit	94	69
cbsdso49	Bandit	94	69
cbsdso50	Bandit	94	69
cbsdso51	Bandit	94	69
cbsdso52	Bandit	94	69
cbseacpt	Captain Deudermont	50	36
cbsemded	Semaj	85	63
cbsended	Sendai	172	129
cbshthef	Sendai	172	129
cbshthif	Roger the Fence	26	18
cbsirrus	Sirrus Melandor: Mayor of Soubar	46	33
cbsmsoub	Sirrus Melandor: Mayor of Soubar	46	33
cbstlkp2	Gorion	58	42
cbsurayw	Surayah	13	9
cbtardth	Tardeth Llanistaph	375	279
cbtaxcol	Tax Collector	102	75
cbtbggal	Adventurer Gaelion	100	75
cbtbggl1	Adventurer Gaelion	100	75
cbtbgmal	Adventurer Maltanar	75	54
cbtbgmer	Adventurer Mercurial	2000	1500
cbtbgml1	Adventurer Maltanar	75	54
cbtbgmr1	Adventurer Mercurial	2000	1500
cbtettch	Tethtoril	125	93
cbuhakct	Lord Arvin Kothonos: Mage of Soubar	245	183
cbuhcut1	<Invalid Strref -1>	94	69
cbuhgvct	Gaius Varros:  Paladin of Soubar	270	201
cbusherw	Butler	10	6
cbvinnie	Vincenzo the Innkeep	20	15
cbwachbd	Watcher	5	3
cbwillma	Sir William	600	450
cdmaid1	Captive Woman	25	18
cdmaid2	Captive Woman	25	18
cdmaid3	Captive Woman	25	18
cdmaid4	Captive Woman	25	18
cdmaid5	Captive Woman	25	18
cederil	Deril	30	21
cedruid2	Dalok	26	18
cefaldor	Faldorn	10	6
ceigarol	Igarol	45	33
cguard1	Cultist Guard	95	69
cguard2	Cultist Guard	95	69
chade	Chade	8	6
chairm1	Townsperson	26	18
chairm2	Townsperson	26	18
chairm3	Townsperson	26	18
chairm4	Townsperson	26	18
chak	Chak	40	30
charbase	<Invalid Strref -1>	100	75
charlo09	Charlotte	42	30
charlo12	Charlotte	42	30
charlo22	Charlotte	42	30
chaunti	Brother Chaunticleer	6	3
chaunti2	Brother Chaunticleer	4	3
churin	Churin	9	6
chxzar	Chxzar	48	36
civfrus1	Jeremiah Jamtoes	4	3
clardi01	Inspector Ardis	10	6
clcoti01	Cotirso	10	6
clervamp	Vampiric Priest	200	150
clfcla	The Magnificent Clady	500	375
clfmox	Moxen	500	375
clfnua	Nua	10	6
clgijj01	Gijjal of the House Malario	10	6
clstkn01	Storm Knight	250	186
cm01a514	Maria Darkblade	20	15
cm02a514	Khan Noonian Singh	139	102
cm03a514	Quintus the Quick	39	27
cm04a514	Garak the Banelord	60	45
cm05a514	Gorth	67	48
cm0700a	Sir Winton	200	150
cm1800a1	Black Talon Elite	52	39
cm1803a1	Black Talon Elite	52	39
cm1803a2	Black Talon Elite	52	39
cm1803a3	Dark Silvia	139	102
cm1803a4	Morgan	100	75
cm1a2100	Druid	23	15
cm2300a3	Caravan Guard	69	51
cm2a2100	Druid	23	15
cm330001	Morninglord Guard	8	6
cm330002	Morninglord Guard	8	6
cm330003	Morninglord Guard	8	6
cm330004	Morninglord Guard	8	6
cm330005	Morningmaster	149	111
cm330006	Morningmaster	149	111
cm330007	Morninglord	94	69
cm330008	Morninglord	60	45
cm3a2100	Selene	120	90
cmapocal	Apocalypse Undead Archer	400	300
cmbou01	Zargos Flintblade	38	27
cmbou02	Tristan	90	66
cmbou03	Malious	31	21
cmbou04	Phallen Nightsbane	201	150
cmbou05	Necardian	66	48
cmbou06	Isolde	26	18
cmbou07	Mendas	80	60
cmbou08	Garret	80	60
cmbou09	Allister	66	48
cmbou10	Zara	26	18
cmbou11	Hilgaar	38	27
cmdmerc	Magnus Stonecrusher	200	150
cmdru01	Miranda the Witch	120	90
cmdru02	Kieran	50	36
cmdru03	Wendell	52	39
cmdru04	Druid	23	15
cmdru05	Druid	23	15
cmdru06	Druid	23	15
cmdru07	Druid	23	15
cmdrwp	Priestess of Eilistraee	500	375
cmelf02	Ygrainne Windstar	2500	1875
cmgkali2	Lilith	666	498
cmgnol01	Gnoll Clan Leader	80	60
cmgnol03	Gnoll Elite Warrior	8	6
cmham01	Thurm Hammer	80	60
cmham02	Tor Hammer	80	60
cmham03	Thorin Hammer	80	60
cmhaun01	Haunt	200	150
cmhaun02	Haunt	200	150
cmhob02	Hobgoblin Elite	50	36
cmhob03	Hobgoblin General	50	36
cmirone	Black Talon General	52	39
cmkob03	Kobold Witch Doctor	20	15
cmlog01	Ogre	20	15
cmlordas	Lord Ashram	25	18
cmlstr1	Belladonna	1000	750
cmlstr2	Shadow Druid	50	36
cmlstr3	Tavern Wench	44	33
cmlstr4	Tavern Wench	44	33
cmlstr5	Tavern Wench	44	33
cmmagnu	Magnus	666	498
cmmedus	Medusa	300	225
cmmerc02	Quincy the Jeweler	100	75
cmmerc06	Ms. Godfrey	500	375
cmmystr	Ratava Artsym	35000	26250
cmnajar3	Vallius	125	93
cmnajara	Najara	49	36
cmnina1	Ninafer	666	498
cmogregu	Half Ogre Guard	200	150
cmosec05	Oversight Elite	185	138
cmosec06	Oversight Elite	185	138
cmosec07	Oversight Elite	185	138
cmosec08	Oversight Bard	55	39
cmosec09	Oversight Priest	60	45
cmosec10	Torture Twin	49	36
cmosec11	Torture Twin	58	42
cmosec12	Butler	60	45
cmosec15	Oversight Guard	185	138
cmosec16	Oversight Guard	185	138
cmquest1	Halabasher Dhunshar	74	54
cmrsec02	Nikita	125	93
cmrsec04	Michael	140	105
cmsec01	Paul Wolfe	200	150
cmsec02	Nikita	125	93
cmsec04	Michael Samuelle	140	105
cmsec06	Davenport	185	138
cmsec07	Andrea	400	300
cmsec08	George	158	117
cmsec08a	George	158	117
cmsec09	Sir Jones	150	111
cmsec10	Section Operative	30	21
cmsec10a	Section Operative	30	21
cmsec10b	Section Operative	30	21
cmsec10c	Section Operative	30	21
cmsec12	Section Operative	102	75
cmsec12a	Section Elite	102	75
cmsec12b	Section Operative	102	75
cmsec12c	Section Operative	102	75
cmsec12d	Section Operative	102	75
cmsec13	Section Operative	75	54
cmsec14	Section Elite	50	36
cmsec14a	Section Elite	50	36
cmsec14b	Section Elite	50	36
cmsec15	Section Operative	38	27
cmsec16	Section Operative	20	15
cmsec19	Section Elite	50	36
cmsec21	Lillian Darkwater	49	36
cmsec24	Section Elite	60	45
cmsec25	Section Elite	60	45
cmskel03	Death Knight	100	75
cmskel04	Death Knight	100	75
cmvamanc	Ancient Vampire	120	90
cmvampat	Patriarch Vampire	220	165
cmwolf	Wolfmoon	200	150
cohrvale	Cohrvale	126	93
colbert	Colbert	6	3
copcust2	Commoner	4	3
copcust3	Nobleman	10	6
copgreet	Frankie	4	3
corneil	Corneil	65	48
cowenf1	Cowled Enforcer	25	18
cowenf3	Cowled Enforcer	25	18
cowenf4	Cowled Enforcer	25	18
cowled	Cowled Wizard	102	75
cragmoon	Mrs. Cragmoon	26	18
cratzyl	Cratzyl	348	261
c-renal	Renal	183	135
crolus	Crolus	6	3
csgayl	Assassin	39	27
csthief1	Assassin	39	27
csthief2	Assassin	39	27
csthief3	Assassin	39	27
csthief4	Assassin	39	27
ctraitor	Tad	95	69
cultbeh	The Highest	668	501
cultist1	Cultist	95	69
cultist2	Cultist	95	69
cwsada	Mistress Ada	13	9
cwshen	Hendak	87	63
cwsmaz	Mazzy	45	33
cyclead	Cyclops Leader	188	141
d0alassa	Alassa	63	45
d0arbkup	Shadow Thief	25	18
d0debt1	Debt Collector	40	30
d0debt2	Debt Collector	30	21
d0drunk	Drunk	13	9
d0ftown2	Commoner	4	3
d0guard4	Sanctioned Wizard	102	75
d0lender	Celile	234	174
d0msngr	Shadow Thief	39	27
d0nightk	Larell	97	72
d0qpback	Cowled Escort	25	18
d0qphar1	Harper	43	30
d0qppotn	Jadarath	80	60
d0qpslav	Tredor	13	9
d0qpsy01	Sythillisian Soldier	5	3
d0qpsy03	Sythillisian Soldier	5	3
d0qpsy10	Sythillisian Soldier	100	75
d0renal	Renal Bloodscalp	183	135
d0renrev	Shadow Thief	39	27
d0thug	Thug	85	63
d0thug2	Thug	85	63
d0thug3	Thug	85	63
d0thug4	Pirate Bodyguard	100	75
d0xzar	Xzar	907	678
dadragon	Fanguarrax	3488	2616
dadrow12	Overseer Handmaiden	10	6
dadrow13	Drow	20	15
dadrow15	Drow	20	15
dadrow16	Drow	25	18
dadrow17	Taso Kala	30	21
dadrow18	Spelljammer Drow	40	30
dadrow19	Drow	120	90
dadrow2	Drow Servant	20	15
dadrow20	Drow Priestess	20	15
dadrow21	Drow	10	6
dadrow22	Drow	15	9
dadrow23	Drow	10	6
dadrow24	Drow	120	90
dadrow25	Drow	70	51
dadrow26	Drow	40	30
dadrow3	Drow Slave Trader	50	36
dadrow4	Drow Priestess	60	45
dadrow5	Drow	20	15
dadrow6	Drow Leader	70	51
dadrow7	Drow	40	30
dadrow8	Drow Torturer	70	51
dadrow9	Drow Torturer	60	45
dagith1	Githyanki Captain	98	72
dagith2	Githyanki	98	72
dariogr1	Assassin Mage	25	18
dariogr2	Assassin Warrior	67	48
dariogr3	Assassin Warrior	67	48
dariogr4	Assassin Warrior	67	48
dariogr5	Assassin Warrior	67	48
daslave1	Slave Leader	20	15
dassin	Shadow Thief	100	75
dcai	Vulova Guildmaster	75	54
dcleric	Mad Cleric	20	15
dcleric2	The Redeemer	500	375
dcowl1	Rayic Gethras	40	30
dd1700wi	Slurice	25	18
ddcrazy1	Manifest Lunatic	22	15
ddcyric1	Larala	11	6
ddcyric2	Larala	11	6
ddcyric3	Larala	11	6
ddcyric4	Larala	11	6
ddgenera	General	22	15
ddhall01	Krent	25	18
ddhusban	Larala's Husband	11	6
ddlaral2	Larala	11	6
ddlarala	Larala	11	6
ddmanarc	Manifest Archer	22	15
ddmanpea	Manifest Peasant	22	15
ddmansha	Manifest Shadow	22	15
ddplota4	Manifest Shadow	22	15
ddplota5	Monster	22	15
ddpo05ab	Ranger	46	33
ddsold10	Soldier	22	15
ddsold11	Soldier	22	15
ddwarp01	Elven Wizard	907	678
ddwman02	Woman	22	15
decre#02	The Black Knight	120	90
decre#06	CosmoGoon	20	15
decre#07	Deano	120	90
decre#08	WhoDeany	110	81
degard	Degardan	44	33
del	Del	45	33
delcia	Lady Delcia Caan	13	9
delei	Delei	26	18
delich1	Demi-Lich	4888	3666
dellow	Del	45	33
delnob01	Nobleman	20	15
delnob02	Noblewoman	20	15
delryng1	Delryn Door Guard	9	6
deltow02	Patron	5	3
demdark	Dark One	25	18
demdark1	Dark One	25	18
demdrac	Demi Draco Lich	10000	7500
demilich	Demi-Lich	5000	3750
demmag	Dracandros	40	30
demport	Portal	25	18
dempri	Pitre	30	21
demson	Sir William Reirrac	25	18
derrick	Derrick	20	15
deshar	Ferric Ironblade	50	36
dfisher	Fisherman	11	6
dftown1	Commoner	4	3
dftown2	Commoner	4	3
diane	Diane	5	3
dmrest	Bessen	10	6
dmtown1	Peasant	11	6
dmtown2	Peasant	11	6
dockhlp1	Shadow Thief	39	27
dockhlp2	Shadow Thief	39	27
dockmeet	Rylock	125	93
dockpriz	Shadow Thief	183	135
docsol03	Guard Captain	50	36
dorkus	Dorkus	10	6
doug	Festule the Alchemist	45	33
dpimg1	Pimlico Guard	9	6
drag	Nizidramanii'yt	345	258
dragblac	Nizidramanii'yt	345	258
dragred	Red Dragon	15000	11250
dragshad	Thaxll'ssillyia	3200	2400
draug	Draug Fea	119	87
drow01	Drow Warrior	10	6
drow02	Drow Warrior	10	6
drow03	Drow Wizard	20	15
drow04	Drow Priestess	50	36
drow05	Drow	30	21
drow06	Drow	40	30
drow07	Drow Priestess	50	36
drowbd01	Drow Warrior	10	6
drowbd02	Drow Warrior	10	6
drowbd03	Drow Warrior	10	6
drowbd04	Drow Warrior	10	6
drowbd05	Drow Warrior	10	6
drowbd06	Drow Warrior	10	6
drowbd07	Drow Wizard	40	30
drowbd08	Drow Wizard	40	30
drowbd09	Drow Priestess	50	36
drowbd10	Drow Priestess	50	36
drowbd11	Drow Wizard	40	30
drush	Drush	10	6
dsailor1	Sailor	8	6
dsailor2	Sailor	12	9
dsbardo	Bardo Furfoot	21	15
dsblane	Dawn Priest Blane	64	48
dsbody01	Shadow Thief	39	27
dsbub	Bub Snikt	10	6
dsbub6	Bub Snikt	15	9
dsconch5	Conchobhair Strongblade	31	21
dscuch5	CúChoinneach	15	9
dscuch7	CúChoinneach	21	15
dsdrow01	Drow Weapons Master	10	6
dsdrow02	Drow Mage	40	30
dsdrow03	Drow Warrior	10	6
dsdrow04	Drow Elite	10	6
dsduegm1	Duergar Fighter	23	15
dsduegma	Duergar Mage	23	15
dsduegsk	Duergar Skeletal Conjurer	23	15
dsduerg1	Duergar Thief	87	63
dsduerg2	Duergar Guard	87	63
dsduerg3	Duergar Priest	87	63
dsduerga	Duergar Miner	87	63
dsferth	Ferthgil Trollslayer	10	6
dshalf01	Gandolar Luckyfoot	47	33
dshop01	Ikert	25	18
dshop02	Jahaboam	7	3
dsjetla9	Jet'laya	25	18
dsjules	Jules	50	36
dskateri	Katerin	4	3
dskeiri7	Keiria Silverstring	45	33
dslennan	Lennan	52	39
dsorc01	Orc	5	3
dsotho	Otho Truehammer	1100	825
dsthief	Shadow Thief	39	27
duearc01	Duergar	23	15
duearc02	Duergar	23	15
duearc03	Duergar	23	15
duearc04	Duergar	23	15
duecla01	Ilyich	87	63
duecla02	Ilyich	87	63
duegau01	Duergar	87	63
duegau02	Duergar	87	63
duegexit	Duergar	23	15
duegmin1	Duergar	23	15
duegmin2	Duergar Mage	23	15
duegmin3	Duergar	23	15
duegrune	Duergar	23	15
duegsal1	Duergar	87	63
duegsal2	Duergar	87	63
duegsal3	Duergar	87	63
duegske1	Duergar Skeletal Conjurer	23	15
duemag01	Mage	23	15
duemag02	Mage	23	15
duepre01	Duergar	87	63
duergar	Duergar	87	63
duergar1	Duergar	87	63
duergar2	Duergar	87	63
duergar3	Duergar	87	63
dumayor	Minister Lloyd	100	75
dvampfl	Vampire	39	27
dw#abbl1	Olinissimous	345	258
dw#abbl2	Zirimanat'ryl	345	258
dw#abgre	Ithy'nassendra	1500	1125
dw#abred	Carnifex	1500	1125
dw#abrop	Merchant	30	21
dw#c3bt	Black Talon Elite	20	15
dw#c3hb	Hobgoblin Elite	5	3
dw#c51	Shennara	22	15
dw#c52	Kaalos	136	102
dw#diarm	Diarmid	68	51
dw#oghob	Hobgoblin Elite	5	3
dw#queen	Queen	102	75
dw#refg2	Slaver	128	96
dw#refg3	Slaver	128	96
dw#rnlr1	Bandit	87	63
dw#rnlr2	Bandit	94	69
dw#skcan	Watcher	5	3
dw#thr01	Thrall Wizard	25	18
dw#thr02	Thrall Wizard	25	18
dw#ysdra	Brimstone	15000	11250
dwbrg01	Drow Warrior	10	6
dwbrg02	Drow Warrior	10	6
dwgard01	Drow Warrior	10	6
dwgard02	Drow Warrior	10	6
dwgard03	Drow Warrior	10	6
dwgard04	Drow Warrior	10	6
dwwond01	Drow Warrior	10	6
dwwond02	Drow Warrior	10	6
dwwond03	Drow Warrior	10	6
dwwond04	Drow Warrior	10	6
dwwond05	Drow Wizard	20	15
dwwond06	Drow Priestess	50	36
dwwond07	Drow Warrior	10	6
dwwond08	Drow Priestess	50	36
dwwond09	Drow Warrior	10	6
dwwond10	Drow Warrior	10	6
dwwond11	Drow Warrior	10	6
dwwond12	Drow Warrior	10	6
dwwond13	Drow Wizard	20	15
dwwond14	Drow Priestess	50	36
dwwond15	Drow Warrior	10	6
dwwond16	Drow Wizard	20	15
dwwond17	Drow Warrior	10	6
e33	Alora	57	42
e35	Edwin	100	75
e3aransm	Mrs. Linvail	4	3
e3cirion	Cirion	3058	2292
e3eriale	Eriale	204	153
e3hoodg1	Hooded Figure	25	18
e3hoodl	Hooded Figure	25	18
e3jekhri	Jekh'ril	110	81
e3savany	Savanya	511	381
e3sume	Sume	387	288
e3taeghe	Taeghen	545	408
eastgol1	Guardian Of Easthaven	4000	3000
eastgol2	Guardian Of Easthaven	4000	3000
eastmage	Azim	4000	3000
egald1	Edomis Galdenburg	23	15
egenia	Mother Egenia	23	15
egeques2	Captive Villager	26	18
egequest	Captive Villager	26	18
egmage1	Trevis	24	18
egmage2	Drent	25	18
eleana	Eleana	8	6
eleana2	Eleana	8	6
eleana3	Eleana	8	6
elka9	Elka	378	282
elmin01	Elminster	20	15
elmin02	Elminster	20	15
embarl	Embarl	30	21
enteri	Artemis Entreri	1238	927
enteri2	Artemis Entreri	2000	1500
enteri3c	Artemis Entreri	2000	1500
enteri5c	Artemis Entreri	2000	1500
enteri6c	Artemis Entreri	2000	1500
enteriss	Artemis Entreri	2000	1500
eranda	Eranda	678	507
eranda2	Eranda	678	507
eranda3	Eranda	678	507
errtu	Errtu	566	423
erwan	Erwan Pistvaen	12	9
escort1	Cominda	12	9
escort1a	Cominda	12	9
escort2	Kerstia	20	15
escort2a	Kerstia	20	15
escort3	Jenthan	10	6
escort3a	Jenthan	10	6
escort4	Virah	20	15
excult1	Garuk	95	69
excult2	Zaelas	95	69
f_artemi	Artemis Entreri	39	27
f_bearol	Bear Tribe Elder	170	126
fangu	Fanguarrax	2400	1800
fcapvil	Captive Villager	26	18
femvamp1	Vampire	12	9
femvamp2	Vampire	11	6
femvamp3	Vampire	12	9
ffactor1	Kirinaldo	7	3
ffactor2	Lunisia	4	3
ffbart	Samuel Thunderburp	20	15
ffcapvil	Captive Villager	26	18
ffcrowd1	Nobleman	14	9
ffcrowd2	Noblewoman	13	9
ffcrowd3	Peasant	11	6
ffcrowd4	Commoner	4	3
ffcust01	Ercias	12	9
ffcust03	Tavern Patron	4	3
ffcust04	Tavern Patron	11	6
ffcust05	Tavern Patron	15	9
ffcust07	H'rothgar Firehammer	15	9
ffcust08	Jerry Jamtoes	7	3
ffcust09	Lord Sterk	25	18
ffusher1	Usher	7	3
ffwench	Thalia Thunderburp	20	15
fhterl	Terl	9	6
fidrow1	Drow	22	15
fidrow10	Drow	22	15
fidrow2	Drow	22	15
fidrow3	Drow	22	15
fidrow4	Drow	22	15
fidrow5	Drow	22	15
fidrow6	Drow	22	15
fidrow7	Drow	22	15
fidrow8	Drow	22	15
fidrow9	Drow	22	15
fiinvi	Drow Warrior	10	6
fiinvi2	Drow Warrior	10	6
fiinvi3	Drow Warrior	10	6
fiinvi4	Drow Warrior	10	6
fiinvi5	Drow Warrior	10	6
fiinvi6	Drow Warrior	10	6
fiinvi7	Drow Warrior	10	6
fingrom	Gromnir Il-Khan	1200	900
firban01	Bandit	40	30
firban02	Plath Rededge	20	15
firban03	Bandit	30	21
firkra02	Firkraag	1500	1125
firmag01	Conster	25	18
firrak01	Ruhk Transmuter	6	3
firrak02	Ruhk	6	3
flan	Flan Brel	200	150
fmcapvil	Captive Villager	26	18
franco	Franco	10	6
frdeath	Galangar	559	417
fsdragon	Dragon	1500	1125
fshorde4	Orc	5	3
fsmage03	Mage	25	18
fsmage04	Mage	25	18
ftown1	Commoner	4	3
ftown2	Commoner	7	3
fumin	Minister Adelain	30	21
fwmirena	Mirena	13	9
fwshop01	Storekeep	2000	1500
fyual	Greater Yuan-Ti Leader	22	15
fyuam	Greater Yuan-Ti Mage	28	21
g3bev	Lady Bev	10	6
g3kebodi	Kebodi	39	27
g3maid	Barmaid	10	6
g3mrsgtu	Mrs. The Unmanned	13	9
g3suleci	Sir Suleci	67	48
gaelan	Gaelan Bayle	142	105
gaelan2	Gaelan Bayle	142	105
gaidan	Gaidan	540	405
gaidan2	Gaidan	540	405
gaius	Gaius	34	24
galan1	Galan	22	15
galkin	Galkin	5	3
galryn	Galryn	18	12
garlich1	Elemental Lich	128	96
garlich2	Elemental Lich	228	171
garrax5	Lord Garrax	5678	4257
garrick	Garrick	55	39
garron	Garron	25	18
gaspar	Gaspar	35	24
gaylan	Gaylan Bael	45	33
gbband1b	Bandit	87	63
gbhrep1e	Mage	25	18
gcmdwar1	Asgrim the Insane	666	498
gerhardt	Uncle Gerhardt	24	18
gerth	Gerth	26	18
gguard01	Amnish Soldier	9	6
ghereg	Ghereg	5	3
giantf01	Fire Giant	100	75
gladia01	Gatekeeper	87	63
gmage14	Mekrath	25	18
gmayor	Theshal	10	6
gnoll02	Gnoll	100	75
gnoll03	Gnoll	100	75
godabis1	Abishai Almu'd	558	417
godaqua	Aqua Dragon	2110	1581
godblue	Blue Dragon	2348	1761
goddemi1	Demi-Lich	433	324
goddemi2	Demi-Lich	558	417
godhalf1	Mad Gnome	783	585
godlich1	Greater Lich	822	615
gondoh	Gondo Hyman	23	15
gorcamb3	Tiefling	60	45
gorcamb5	Tiefling	80	60
gorfirg	Fire Giant	100	75
gorje	Gorje Hilldark	127	93
gororc01	Orc	15	9
gorsal	Saladrex	1500	1125
gorwom04	Ameralis Zauviir	1230	921
gpfight1	Boz	20	15
gphil03	Huntley	18	12
gpsimb	Simbja	22	15
