Creature	OldAnim	OldAnimText	NewAnim	NewAnimText
valyg11	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
valyg12	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
valyg14	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
valyg9	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
vara	20499	CLERIC_FEMALE_HALFLING_LOW	24595	CLERIC_FEMALE_HALFLING
walla	20482	CLERIC_MALE_DWARF_LOW	24578	CLERIC_MALE_DWARF
william	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
wwswoo	20483	CLERIC_MALE_HALFLING_LOW	24579	CLERIC_MALE_HALFLING
x#mareth	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
x#seasn	20753	FIGHTER_FEMALE_ELF_LOW	24849	FIGHTER_FEMALE_ELF
x#valen	21249	THIEF_MALE_ELF_LOW	25345	THIEF_MALE_ELF
xnem	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
xsfirgi	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
yaga05	21265	THIEF_FEMALE_ELF_LOW	25361	THIEF_FEMALE_ELF
yoshi10	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
yoshi11	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
yoshi12	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
yoshi7	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
yoshi8	21248	THIEF_MALE_HUMAN_LOW	25344	THIEF_MALE_HUMAN
yscler01	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
yssold12	20736	FIGHTER_MALE_HUMAN_LOW	24832	FIGHTER_MALE_HUMAN
yssold16	20496	CLERIC_FEMALE_HUMAN_LOW	24592	CLERIC_FEMALE_HUMAN
z#cw18	20993	MAGE_MALE_ELF_LOW	25089	MAGE_MALE_ELF
z#elf2	20481	CLERIC_MALE_ELF_LOW	24577	CLERIC_MALE_ELF
z#kni1	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
z#kni1ok	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
z#kni2	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
z#kni2ok	20480	CLERIC_MALE_HUMAN_LOW	24576	CLERIC_MALE_HUMAN
zilarc01	20481	CLERIC_MALE_ELF_LOW	24577	CLERIC_MALE_ELF
