File	Name	Slot	Script
cbrncher	Ranch Hand	Slot 584	agrandbr
cbrolfsb	Rolf Sureblade:  Bandit Leader	Slot 592	agrandrb
cbrrrpip	Piper	Slot 584	agrandbr
cbrssoub	Rolf Sureblade:  Bandit Leader	Slot 592	agrandrb
cbrtbda1	Bandit	Slot 584	agrandbr
cbrtbda2	Bandit	Slot 584	agrandbr
cbrtbda3	Bandit	Slot 584	agrandrb
cbrtbdb1	Bandit	Slot 584	agrandbr
cbrtbdb2	Bandit	Slot 584	agrandbr
cbrtbdb3	Bandit	Slot 584	agrandrb
cbrtbdc1	Bandit	Slot 584	agrandea
cbrtbdc2	Bandit	Slot 584	agrandrb
cbrtbdc3	Bandit	Slot 584	agrandbr
cbrtbdd1	Bandit	Slot 584	agrandrb
cbrtbdd2	Bandit	Slot 584	agrandrb
cbrtbdd3	Bandit	Slot 584	agrandrb
cbrtbde1	Bandit	Slot 584	agrandbr
cbrtbde2	Bandit	Slot 584	agrandrb
cbrtbde3	Bandit	Slot 584	agrandrb
cbrtbdg1	Bandit	Slot 584	agrandrb
cbrtbdg2	Bandit	Slot 584	agrandrb
cbrtbdg3	Bandit	Slot 584	agrandrb
cbrtbdh1	Bandit	Slot 584	agrandrg
cbrtbdh2	Bandit	Slot 584	agrandrb
cbrtbdh3	Bandit	Slot 584	agrandrb
cbrtbdi1	Bandit	Slot 584	agrandrb
cbrtbdi2	Bandit	Slot 584	agrandbr
cbrtbdi3	Bandit	Slot 584	agrandbr
cbrtbdj1	Bandit	Slot 584	agrandrb
cbrtbdj2	Bandit	Slot 584	agrandrb
cbrtbdj3	Bandit	Slot 584	agrandbr
cbrtbdk1	Bandit	Slot 584	agrandrb
cbrtbdk2	Bandit	Slot 584	agrandrb
cbrtbdk3	Bandit	Slot 584	agrandsw
cbrtrbdf	Squad Leader	Slot 584	agrandea
cbsaerkw	Saerk Farrahd	Slot 592	agrandbr
cbsarded	Armored Figure	Slot 592	agrandrb
cbsbin70	Oscar Kerlin	Slot 584	agrandnc
cbsbin72	Eryn Lashir	Slot 584	agrandbr
cbsbmd73	Auberigine	Slot 584	agrandrb
cbsbmd74	Voron Lashir	Slot 584	agrandrb
cbsbtvra	Soubar Villager	Slot 600	agrandbr
cbsbtvrb	Soubar Villager	Slot 600	agrandbr
cbsbtvrh	Soubar Villager	Slot 600	agrandrb
cbsbtvri	Soubar Villager	Slot 600	agrandbr
cbsbtvro	Soubar Villager	Slot 600	agrandrb
cbsbvill	Soubar Villager	Slot 592	agrandbr
cbsbvlil	Soubar Villager	Slot 592	agrandbr
cbsbw172	Forel Lashir	Slot 584	agrandrb
cbsbw272	Challot	Slot 584	agrandrb
cbsbw372	Gaolla Lashir	Slot 584	agrandbr
cbsccw01	Cowled Wizard	Slot 592	agrandrp
cbsccw02	Cowled Wizard	Slot 592	agrandbr
cbsccwen	Cowled Wizard	Slot 608	agrandrb
cbsdso01	Bandit	Slot 592	agrandcl
cbsdso02	Bandit	Slot 592	agrandrb
cbsdso03	Bandit	Slot 592	agrandbr
cbsdso04	Bandit	Slot 592	agrandcl
cbsdso05	Bandit	Slot 592	agrandrb
cbsdso06	Bandit	Slot 592	agrandbr
cbsdso07	Bandit	Slot 592	agrandrb
cbsdso08	Bandit	Slot 592	agrandbr
cbsdso09	Bandit	Slot 592	agrandnc
cbsdso10	Bandit	Slot 592	agrandrb
cbsdso11	Bandit	Slot 592	agrandrb
cbsdso12	Bandit	Slot 592	agrandrb
cbsdso21	Bandit	Slot 592	agrandcl
cbsdso22	Bandit	Slot 592	agrandbr
cbsdso23	Bandit	Slot 592	agrandrb
cbsdso24	Bandit	Slot 592	agrandbr
cbsdso25	Bandit	Slot 592	agrandbr
cbsdso26	Bandit	Slot 592	agrandbr
cbsdso27	Bandit	Slot 592	agrandrb
cbsdso28	Bandit	Slot 592	agrandbr
cbsdso29	Bandit	Slot 592	agrandrb
cbsdso30	Bandit	Slot 592	agrandbr
cbsdso31	Bandit	Slot 592	agrandrb
cbsdso32	Bandit	Slot 592	agrandrb
cbsdso41	Bandit	Slot 592	agrandsw
cbsdso42	Bandit	Slot 592	agrandcl
cbsdso43	Bandit	Slot 592	agrandrb
cbsdso44	Bandit	Slot 592	agrandrb
cbsdso45	Bandit	Slot 592	agrandrb
cbsdso46	Bandit	Slot 592	agrandrb
cbsdso47	Bandit	Slot 592	agrandrb
cbsdso48	Bandit	Slot 592	agrandbr
cbsdso49	Bandit	Slot 592	agrandrb
cbsdso50	Bandit	Slot 592	agrandbr
cbsdso51	Bandit	Slot 592	agrandrb
cbsdso52	Bandit	Slot 592	agrandrb
cbsemded	Semaj	Slot 584	agrandrb
cbsended	Sendai	Slot 592	agrandbr
cbshdrun	Shadow Thief	Slot 600	agrandrb
cbshdwky	Parisa	Slot 592	agrandbr
cbshthef	Sendai	Slot 600	agrandbr
cbshthif	Roger the Fence	Slot 600	agrandrb
cbsirrus	Sirrus Melandor: Mayor of Soubar	Slot 592	agrandrb
cbsmsoub	Sirrus Melandor: Mayor of Soubar	Slot 592	agrandbr
cbsobgrd	Soubar Guard	Slot 600	agrandnc
cbspyban	Bandit	Slot 592	agrandrb
cbspyrlf	Rolf Sureblade	Slot 584	agrandbr
cbssyeti	Abominable Snowman	Slot 592	agrandbr
cbst0103	Shadow Thief	Slot 592	agrandbr
cbst0166	Shadow Thief	Slot 592	agrandsw
cbst0203	Shadow Thief	Slot 592	agrandrp
cbst0266	Shadow Thief	Slot 592	agrandrb
cbst0303	Shadow Thief	Slot 592	agrandbr
cbst0366	Shadow Thief	Slot 592	agrandbr
cbst0403	Shadow Thief	Slot 592	agrandrb
cbst0466	Shadow Thief	Slot 592	agrandbr
cbst0503	Shadow Thief	Slot 592	agrandrp
cbst0566	Shadow Thief	Slot 592	agrandbr
cbstks66	Shadow Thief	Slot 592	agrandbr
cbsupmum	Mummified Banite	Slot 592	agrandrb
cbtaxas1	Assassin	Slot 584	agrandrb
cbtaxas2	Assassin	Slot 584	agrandrb
cbtaxas3	Assassin	Slot 584	agrandbr
cbtaxas4	Assassin	Slot 584	agrandrb
cbtaxcol	Tax Collector	Slot 608	agrandbr
cbtazded	Tazok	Slot 584	agrandrb
cbthalan	Thalantyr	Slot 584	agrandbr
cbuhakct	Lord Arvin Kothonos: Mage of Soubar	Slot 600	agrandbr
cbuhgvct	Gaius Varros:  Paladin of Soubar	Slot 600	agrandrb
cbundead	Random Undead	Slot 592	agrandrb
cbvamgry	Hareishan	Slot 584	agrandlx
cbweregr	Greater Werewolf	Slot 600	agrandbr
cbwillma	Sir William	Slot 592	agrandbr
cbxtthef	Wyrbrin Horton	Slot 592	agrandrb
cbyt4446	Yuan-Ti of House Extaminos	Slot 584	agrandrb
cbyt4447	Yuan-Ti of House Extaminos	Slot 592	agrandrb
cbyusefw	Yusef	Slot 592	agrandrp
cbzomb01	Myrkul's Legionnaire	Slot 584	agrandbr
cbzomb02	Dread Warrior	Slot 584	agrandbr
cbzombd1	Myrkul's Legionnaire	Slot 584	agrandrb
cbzombd2	Dread Warrior	Slot 584	agrandbr
ccguard1	Copper Coronet Guard	Slot 592	agrandbr
ccguard2	Copper Coronet Guard	Slot 592	agrandbr
cdtroll1	Troll	Slot 592	agrandbr
cdtroll2	Troll	Slot 592	agrandlx
cechal02	Master Verthan	Slot 608	agrandrb
cechalle	Master Verthan	Slot 584	agrandbr
cedelich	Deril Lich	Slot 600	agrandrb
cederil	Deril	Slot 608	agrandbr
cedruid1	Pauden	Slot 592	agrandbr
cedruid2	Dalok	Slot 600	agrandrb
cefgt01	Shadow Druid	Slot 592	agrandbr
cefgt02	Shadow Druid	Slot 592	agrandbr
cefgt03	Adherent	Slot 608	agrandbr
ceglut	Glut	Slot 592	agrandbr
ceigarol	Igarol	Slot 600	agrandrb
celich	Lagole Gon	Slot 600	agrandbr
celvan	Crazy Celvan	Slot 592	agrandbr
centeo01	Centeol	Slot 592	agrandrb
ceskel01	Skeleton Warrior	Slot 592	agrandrb
cfcapvil	Captive Villager	Slot 592	agrandrb
cguard1	Cultist Guard	Slot 584	agrandsh
cguard2	Cultist Guard	Slot 584	agrandbr
ch3grd01	Shadow Thief	Slot 592	agrandrb
ch3mag01	Shadow Thief	Slot 592	agrandbr
chade	Chade	Slot 592	agrandbr
chairm1	Townsperson	Slot 592	agrandbr
chairm2	Townsperson	Slot 592	agrandrb
chairm3	Townsperson	Slot 592	agrandsr
chairm4	Townsperson	Slot 592	agrandbr
chak	Chak	Slot 592	agrandrb
chalcy01	Cyric	Slot 592	agrandrb
chalcy02	Favored of Cyric	Slot 592	agrandrb
chalslay	Slayer	Slot 592	agrandbr
chalsp01	Gavid	Slot 592	agrandlx
chaltrol	Giant Troll	Slot 608	agrandrb
chang01	Angelo	Slot 592	agrandrb
chang02	Angelo	Slot 592	agrandrb
chaunti	Brother Chaunticleer	Slot 592	agrandbr
chaunti2	Brother Chaunticleer	Slot 592	agrandbr
chevil01	Kobold Commando	Slot 608	agrandrb
chevil02	Doppelganger	Slot 600	agrandnc
chevil03	Ogre Mage	Slot 608	agrandbr
chevil04	Sahuagin	Slot 600	agrandbr
chevil05	Gnoll Captain	Slot 600	agrandrb
chevil06	Drow Warrior	Slot 600	agrandbr
chevil07	Drow Priestess	Slot 600	agrandrb
chevil08	Bodhi	Slot 600	agrandrb
chgood04	Elven Warrior	Slot 600	agrandbr
chgood05	Elven Warrior	Slot 600	agrandbr
chgood06	Knight of the Order	Slot 600	agrandbr
chgood07	Duke Eltan	Slot 600	agrandsh
chgood08	Aran Linvail	Slot 600	agrandrb
chgood09	Ellesime	Slot 600	agrandbr
chlproxy	Chiel's Proxy	Slot 592	agrandsr
choyol	Choyol	Slot 592	agrandrb
chrdrag	Chromatic Dragon	Slot 592	agrandbr
chrdrag2	Dalhaleitkazyyr	Slot 592	agrandrb
chsam01	Semaj	Slot 592	agrandrb
chsam02	Semaj	Slot 592	agrandrb
chtaz01	Tazok	Slot 592	agrandbr
chtaz02	Tamoko	Slot 592	agrandbr
churin	Churin	Slot 592	agrandbr
chuyol	Chu'yol	Slot 592	agrandrb
chwraith	Child Spirit	Slot 600	agrandrb
chxzar	Chxzar	Slot 584	agrandbr
cianvamp	Vampire	Slot 592	agrandbr
civfrus1	Jeremiah Jamtoes	Slot 592	agrandrb
civil03	Civil Servant	Slot 600	agrandbr
cknight	Cristiana Knight	Slot 592	agrandrb
clcoti01	Cotirso	Slot 608	agrandrg
cldad	Talon Nirkhas	Slot 592	agrandbr
clelun01	Eluno	Slot 592	agrandrb
clervamp	Vampiric Priest	Slot 592	agrandbr
clfcer	Cerese	Slot 592	agrandbr
clfcla	The Magnificent Clady	Slot 600	agrandrb
clfdorc	Dorc	Slot 592	agrandsr
clfjmp	Lord Jumpalota	Slot 600	agrandsw
clfjoan	Joaen	Slot 592	agrandbr
clfjurg	Jurgen	Slot 592	agrandbr
clfmox	Moxen	Slot 600	agrandbr
clfnua	Nua	Slot 592	agrandrb
clfsunec	Serssha	Slot 592	agrandrb
clfteg	Tegenk	Slot 592	agrandbr
clftrl	Troll	Slot 592	agrandbr
clgijj01	Gijjal of the House Malario	Slot 592	agrandrb
clifrz	Rizza	Slot 592	agrandbr
clifyo	Bizzen's hive	Slot 592	agrandbr
cllatp01	Dawnmistress	Slot 592	agrandrb
clmalg01	Malario Soldier	Slot 592	agrandrg
clone01	Escaped Clone	Slot 608	agrandbr
clone1	Escaped Clone	Slot 600	agrandbr
clrani01	Rania	Slot 592	agrandrb
clstkn01	Storm Knight	Slot 592	agrandrb
cltalp01	Weather Master	Slot 592	agrandbr
cltcut02	Cultist	Slot 592	agrandbr
cltcut03	Elite Guard	Slot 600	agrandbr
cltiva01	Ti'Vael	Slot 592	agrandrb
cm02a514	Khan Noonian Singh	Slot 592	agrandbr
cm03a514	Quintus the Quick	Slot 600	agrandbr
cm04a514	Garak the Banelord	Slot 600	agrandrb
cm05a514	Gorth	Slot 592	agrandsh
cm1800a1	Black Talon Elite	Slot 600	agrandbr
cm1803a1	Black Talon Elite	Slot 600	agrandbr
cm1803a2	Black Talon Elite	Slot 600	agrandbr
cm1803a3	Dark Silvia	Slot 584	agrandbr
cm1803a4	Morgan	Slot 584	agrandrb
cm1a2100	Druid	Slot 584	agrandsw
cm2300a1	Caravan Guard	Slot 592	agrandbr
cm2300a2	Caravan Guard	Slot 592	agrandrb
cm2300a3	Caravan Guard	Slot 592	agrandsh
cm2a2100	Druid	Slot 584	agrandbr
cm330007	Morninglord	Slot 608	agrandrb
cm330008	Morninglord	Slot 608	agrandrb
cm3a2100	Selene	Slot 584	agrandrb
cmapoc1	Burning Dead	Slot 592	agrandbr
cmapoc2	Burning Dead	Slot 592	agrandbr
cmapocal	Apocalypse Undead Archer	Slot 592	agrandrb
cmashiru	Ashirukuru	Slot 592	agrandrb
cmbou01	Zargos Flintblade	Slot 592	agrandrb
cmbou03	Malious	Slot 592	agrandrb
cmbou04	Phallen Nightsbane	Slot 592	agrandbr
cmbou05	Necardian	Slot 600	agrandbr
cmbou06	Isolde	Slot 592	agrandbr
cmbou07	Mendas	Slot 592	agrandrb
cmbou08	Garret	Slot 592	agrandbr
cmbou09	Allister	Slot 600	agrandbr
cmbou10	Zara	Slot 592	agrandrp
cmbou11	Hilgaar	Slot 592	agrandsw
cmcapvil	Captive Villager	Slot 592	agrandbr
cmdmerc	Magnus Stonecrusher	Slot 608	agrandbr
cmdrag	Dragon	Slot 592	agrandrb
cmdru02	Kieran	Slot 608	agrandbr
cmdru04	Druid	Slot 592	agrandrb
cmdru05	Druid	Slot 592	agrandrb
cmdru06	Druid	Slot 592	agrandbr
cmdru07	Druid	Slot 592	agrandrb
cmdrwp	Priestess of Eilistraee	Slot 592	agrandrb
cmdry01	Crazy Dryad	Slot 600	agrandrb
cmelf01	Jhaeros Auglathla	Slot 600	agrandrb
cmelf02	Ygrainne Windstar	Slot 592	agrandbr
cmelf03	Elven Body Guard	Slot 600	agrandbr
cmelf04	Elven Body Guard	Slot 600	agrandbr
cmelf05	Elven Body Guard	Slot 600	agrandrb
cmgabby	Gabrielle	Slot 592	agrandbr
cmggo1	Goblin	Slot 592	agrandrb
cmggob1	Goblin	Slot 592	agrandbr
cmghau01	Greater Ghoul	Slot 592	agrandbr
cmghst01	Arch Mage Arias	Slot 600	agrandbr
cmghst02	Ghost Knight	Slot 592	agrandbr
cmghst03	Ghost Knight	Slot 592	agrandbr
cmghst04	Ghost Knight	Slot 592	agrandrb
cmghst05	Anton Valor	Slot 584	agrandrb
cmghst06	Garrett	Slot 584	agrandbr
cmghst07	Synthia Malivore	Slot 584	agrandrb
cmghst08	Arch Mage Natas	Slot 584	agrandbr
cmgkali2	Lilith	Slot 584	agrandsh
cmgkali3	Blood Raven	Slot 592	agrandbr
cmgkali4	Marial Delsol	Slot 592	agrandrb
cmgnol01	Gnoll Clan Leader	Slot 592	agrandbr
cmgnol02	Gnoll Clan Guard	Slot 592	agrandrb
cmgnol03	Gnoll Elite Warrior	Slot 592	agrandrb
cmgnol04	Gnoll Veteran Warrior	Slot 592	agrandea
cmgstor1	Ratava Sartsym	Slot 600	agrandbr
cmham01	Thurm Hammer	Slot 584	agrandbr
cmham02	Tor Hammer	Slot 584	agrandnc
cmham03	Thorin Hammer	Slot 600	agrandrb
cmhaun01	Haunt	Slot 592	agrandbr
cmhaun02	Haunt	Slot 592	agrandbr
cmhob01	Hobgoblin	Slot 592	agrandrb
cmhob02	Hobgoblin Elite	Slot 592	agrandrb
cmhob03	Hobgoblin General	Slot 592	agrandbr
cmirone	Black Talon General	Slot 600	agrandrb
cmkob01	Kobold	Slot 592	agrandbr
cmkob02	Kobold Clan Leader	Slot 592	agrandrb
cmkob03	Kobold Witch Doctor	Slot 592	agrandrb
cmlog02	Ogre Berserker	Slot 592	agrandrb
cmlog03	Ogre	Slot 584	agrandrb
cmlog04	Ogre Mage	Slot 592	agrandbr
cmlstr1	Belladonna	Slot 584	agrandrb
cmlstr2	Shadow Druid	Slot 584	agrandbr
cmmagnu	Magnus	Slot 584	agrandbr
cmmedus	Medusa	Slot 592	agrandrb
cmmystr	Ratava Artsym	Slot 592	agrandrb
cmnajar2	Guard	Slot 592	agrandrb
cmnajar4	Guard	Slot 592	agrandbr
cmnina1	Ninafer	Slot 592	agrandlx
cmogregu	Half Ogre Guard	Slot 592	agrandbr
cmogrem1	Ogre Mage	Slot 592	agrandbr
cmosec01	Oversight Guard	Slot 592	agrandbr
cmosec02	Oversight Guard	Slot 592	agrandbr
cmosec03	Oversight Priest	Slot 584	agrandbr
cmosec04	Oversight War Wizard	Slot 584	agrandrb
cmosec05	Oversight Elite	Slot 592	agrandbr
cmosec06	Oversight Elite	Slot 592	agrandrb
cmosec07	Oversight Elite	Slot 592	agrandcl
cmosec08	Oversight Bard	Slot 600	agrandbr
cmosec09	Oversight Priest	Slot 600	agrandbr
cmosec10	Torture Twin	Slot 592	agrandbr
cmosec11	Torture Twin	Slot 600	agrandrb
cmosec13	Oversight War Wizard	Slot 584	agrandbr
cmosec14	Oversight War Wizard	Slot 584	agrandcl
cmosec15	Oversight Guard	Slot 592	agrandsh
cmosec16	Oversight Guard	Slot 592	agrandrb
cmrsec02	Nikita	Slot 600	agrandrb
cmrsec04	Michael	Slot 592	agrandbr
cmrwiz02	Erica	Slot 600	agrandbr
cmrwiz03	Jeneik	Slot 600	agrandbr
cmsec01	Paul Wolfe	Slot 600	agrandbr
cmsec02	Nikita	Slot 592	agrandbr
cmsec03	Madeline	Slot 592	agrandbr
cmsec04	Michael Samuelle	Slot 592	agrandbr
cmsec05	Quinn	Slot 592	agrandrb
cmsec06	Davenport	Slot 592	agrandrb
cmsec07	Andrea	Slot 608	agrandrb
cmsec08	George	Slot 592	agrandrb
cmsec08a	George	Slot 608	agrandrb
cmsec10	Section Operative	Slot 608	agrandrb
cmsec10a	Section Operative	Slot 608	agrandrb
cmsec10b	Section Operative	Slot 608	agrandbr
cmsec10c	Section Operative	Slot 608	agrandcl
cmsec11	Section Operative	Slot 592	agrandbr
cmsec12	Section Operative	Slot 592	agrandbr
cmsec12a	Section Elite	Slot 592	agrandbr
cmsec12b	Section Operative	Slot 592	agrandrb
cmsec12c	Section Operative	Slot 592	agrandrb
cmsec12d	Section Operative	Slot 592	agrandbr
cmsec13	Section Operative	Slot 592	agrandbr
cmsec14	Section Elite	Slot 592	agrandnc
cmsec14a	Section Elite	Slot 592	agrandbr
cmsec14b	Section Elite	Slot 592	agrandbr
cmsec15	Section Operative	Slot 592	agrandea
cmsec16	Section Operative	Slot 592	agrandbr
cmsec17	Section Operative	Slot 592	agrandrb
cmsec18	Section Operative	Slot 592	agrandbr
cmsec19	Section Elite	Slot 584	agrandbr
cmsec20	Section Operative	Slot 584	agrandrb
cmsec20a	Section Operative	Slot 592	agrandrb
cmsec21	Lillian Darkwater	Slot 584	agrandrb
cmsec22	Section Operative	Slot 608	agrandbr
cmsec23	Section Operative	Slot 592	agrandrb
cmsec24	Section Elite	Slot 592	agrandrb
cmsec25	Section Elite	Slot 592	agrandnc
cmske01	Skeleton	Slot 592	agrandrb
cmske02	Skeleton	Slot 592	agrandlx
cmske03	Skeleton	Slot 592	agrandbr
cmske04	Skeleton	Slot 592	agrandrb
cmskel01	Skeleton Warrior	Slot 592	agrandbr
cmskel02	Skeleton Warrior	Slot 592	agrandrb
cmskel03	Death Knight	Slot 584	agrandbr
cmskel04	Death Knight	Slot 584	agrandrb
cmsola	Solaufein	Slot 592	agrandrb
cmvamanc	Ancient Vampire	Slot 592	agrandbr
cmvampat	Patriarch Vampire	Slot 592	agrandbr
cmwenug	Weenug	Slot 592	agrandbr
cmwolf	Wolfmoon	Slot 592	agrandbr
cmwyba	Baby Wyvern	Slot 592	agrandrb
cmwybi1	Beren	Slot 592	agrandrb
cmwybi2	Luthian	Slot 592	agrandbr
cohnta	Cohn Ta'glaen	Slot 592	agrandea
cohrvale	Cohrvale	Slot 600	agrandrb
colbert	Colbert	Slot 592	agrandrb
conlan	Conlan	Slot 592	agrandbr
const01	Mage Construct	Slot 592	agrandsr
copamb01	Gladiator	Slot 592	agrandbr
copamb02	Copper Coronet Guard	Slot 592	agrandrb
copamb03	Gladiator	Slot 592	agrandsw
copamb04	Gladiator	Slot 592	agrandrg
copamb05	Copper Coronet Guard	Slot 592	agrandrb
copcust3	Nobleman	Slot 592	agrandrb
copgreet	Frankie	Slot 608	agrandrb
cor	Cor Delryn	Slot 592	agrandrb
corgeig	Corgeig Axehand	Slot 592	agrandbr
counsec	Council Secretary Ewenn	Slot 600	agrandrb
cowenf02	Cowled Enforcer	Slot 608	agrandbr
cowenf1	Cowled Enforcer	Slot 608	agrandrb
cowenf3	Cowled Enforcer	Slot 608	agrandsr
cowenf4	Cowled Enforcer	Slot 608	agrandbr
cowld	Cowled Wizard	Slot 608	agrandbr
cowled	Cowled Wizard	Slot 592	agrandbr
cowled01	Cowled Wizard	Slot 608	agrandbr
cragmoon	Mrs. Cragmoon	Slot 600	agrandbr
cratzyl	Cratzyl	Slot 592	agrandsr
c-renal	Renal	Slot 592	agrandcl
crothf01	Tiiro	Slot 592	agrandbr
crothf02	Aulava	Slot 592	agrandbr
cscowl1	Cowled Wizard	Slot 592	agrandrb
cscowl2	Cowled Wizard	Slot 592	agrandbr
cscowl3	Cowled Wizard	Slot 592	agrandbr
cscowl4	Cowled Wizard	Slot 592	agrandbr
cscowl5	Cowled Wizard	Slot 592	agrandbr
cscowl6	Cowled Wizard	Slot 592	agrandrb
cscowl7	Cowled Wizard	Slot 592	agrandrb
cscowl8	Cowled Wizard	Slot 592	agrandbr
cscowl9	Cowled Wizard	Slot 592	agrandbr
csgaal	Gaal	Slot 608	agrandrb
csgayl	Assassin	Slot 592	agrandbr
csiren	Mage	Slot 592	agrandbr
csjon	Mage	Slot 592	agrandrb
csthief1	Assassin	Slot 592	agrandrb
csthief2	Assassin	Slot 592	agrandbr
csthief3	Assassin	Slot 592	agrandrb
csthief4	Assassin	Slot 592	agrandbr
ctraitor	Tad	Slot 608	agrandbr
cuardul	Matron Mother Ardulace	Slot 592	agrandbr
cubodhi	Bodhi	Slot 592	agrandrb
cucow1	Cowled Enforcer	Slot 592	agrandrb
cucow2	Cowled Enforcer	Slot 592	agrandbr
cucow3	Cowled Enforcer	Slot 592	agrandrb
cuguard	Baragh	Slot 592	agrandrb
cultbe1	Matthew Wyndon	Slot 600	agrandrb
cultbe10	Cult Member	Slot 592	agrandrb
cultbe11	Cult Member	Slot 592	agrandrb
cultbe12	Cult Member	Slot 592	agrandbr
cultbe13	Minor Member	Slot 592	agrandsh
cultbe14	Cult Priest	Slot 592	agrandbr
cultbe15	Cult Priest	Slot 592	agrandrb
cultbe16	Cult Priest	Slot 592	agrandbr
cultbe17	Fremor Shadowtail	Slot 592	agrandbr
cultbe18	Ward	Slot 592	agrandbr
cultbe19	Cult Member	Slot 592	agrandsr
cultbe2	Cult Priest	Slot 592	agrandbr
cultbe20	Cult Member	Slot 592	agrandrb
cultbe25	Cult Member	Slot 592	agrandrb
cultbe3	Cult Priest	Slot 592	agrandbr
cultbe4	Cult Priest	Slot 592	agrandbr
cultbe5	Cult Member	Slot 592	agrandrb
cultbe6	Cult Member	Slot 592	agrandrb
cultbe7	Minor Member	Slot 592	agrandrp
cultbe8	Cult Member	Slot 592	agrandea
cultbe9	Cult Member	Slot 592	agrandbr
cultbh1	Gauth	Slot 592	agrandrb
cultbh2	Gauth	Slot 592	agrandrb
cultbh3	Beholder	Slot 592	agrandbr
cultbh4	Spectator	Slot 592	agrandbr
cultist1	Cultist	Slot 584	agrandrb
cultist2	Cultist	Slot 584	agrandrb
cultmo1	Glabrezu	Slot 592	agrandbr
cultmo10	Ettin	Slot 592	agrandsr
cultmo11	Beholder	Slot 600	agrandrb
cultmo2	Cornugon	Slot 592	agrandrb
cultmo5	Warrior of Horror	Slot 592	agrandrb
cultmo7	Strong Skeleton	Slot 592	agrandrb
cultmo9	Fire Giant	Slot 592	agrandbr
cultopp1	Priest	Slot 592	agrandrb
cultopp2	Fighter	Slot 592	agrandbr
cultopp3	Fighter	Slot 592	agrandbr
cultopp4	Mage	Slot 592	agrandlx
cultopp5	Greater Werewolf	Slot 584	agrandrb
cultsa11	Man	Slot 592	agrandbr
cultsa12	Man	Slot 592	agrandbr
cultsa13	Man	Slot 592	agrandrb
cultsa14	Man	Slot 592	agrandrb
cultsa15	Man	Slot 592	agrandrb
cultsa16	Woman	Slot 592	agrandrb
cultsa17	Woman	Slot 592	agrandlx
cultsa18	Woman	Slot 592	agrandbr
cultsa19	Woman	Slot 592	agrandbr
cultsa20	Woman	Slot 592	agrandbr
cultsa21	Sacrifice	Slot 592	agrandbr
cultsa22	Sacrifice	Slot 592	agrandbr
cultsa23	Sacrifice	Slot 592	agrandrb
cultsa24	Sacrifice	Slot 592	agrandrb
cultsac1	Sacrifice	Slot 592	agrandrg
cultsac2	Sacrifice	Slot 592	agrandbr
cultsac3	Sacrifice	Slot 592	agrandbr
cultsac4	Sacrifice	Slot 592	agrandrb
cultsac5	Sacrifice	Slot 592	agrandsw
cultsac6	Sacrifice	Slot 592	agrandrb
cultsac7	Sacrifice	Slot 592	agrandbr
cultsk1	Skeleton	Slot 592	agrandrg
cultsk10	Skeleton	Slot 592	agrandrb
cultsk11	Skeleton	Slot 592	agrandbr
cultsk12	Skeleton	Slot 592	agrandbr
cultsk13	Skeleton	Slot 592	agrandlx
cultsk14	Skeleton	Slot 592	agrandsr
cultsk15	Skeleton	Slot 592	agrandrb
cultsk16	Skeleton	Slot 592	agrandbr
cultsk17	Skeleton	Slot 592	agrandbr
cultsk18	Skeleton	Slot 592	agrandrg
cultsk19	Skeleton	Slot 592	agrandbr
cultsk2	Skeleton	Slot 592	agrandrb
cultsk20	Skeleton	Slot 592	agrandrb
cultsk21	Skeleton	Slot 592	agrandbr
cultsk22	Skeleton	Slot 592	agrandbr
cultsk23	Skeleton	Slot 592	agrandbr
cultsk24	Skeleton	Slot 592	agrandbr
cultsk3	Skeleton	Slot 592	agrandbr
cultsk4	Skeleton	Slot 592	agrandbr
cultsk5	Skeleton	Slot 592	agrandrb
cultsk6	Skeleton	Slot 592	agrandbr
cultsk7	Skeleton	Slot 592	agrandbr
cultsk8	Skeleton	Slot 592	agrandbr
cultsk9	Skeleton	Slot 592	agrandbr
cupris1	Elven Warrior	Slot 592	agrandrb
cupris2	Elven Warrior	Slot 592	agrandrb
cushad1	Shadow Thief	Slot 592	agrandbr
cushad2	Shadow Thief	Slot 592	agrandrb
cushad3	Shadow Thief	Slot 592	agrandsw
cushad4	Shadow Thief	Slot 592	agrandsr
cushad5	Shadow Thief	Slot 592	agrandbr
cushad6	Shadow Thief	Slot 592	agrandbr
custos	Custhantos	Slot 592	agrandbr
cut2dr2	Drow Warrior	Slot 592	agrandbr
cut2dr3	Drow Warrior	Slot 592	agrandrb
cut2dr4	Drow Warrior	Slot 592	agrandrb
cut2dr5	Drow Warrior	Slot 592	agrandbr
cut2drow	Drow Warrior	Slot 592	agrandrg
cut3dr1	Drow Warrior	Slot 592	agrandrb
cut3dr10	Drow Warrior	Slot 592	agrandrb
cut3dr2	Drow Warrior	Slot 592	agrandrb
cut3dr3	Drow Warrior	Slot 592	agrandrb
cut3dr4	Drow Warrior	Slot 592	agrandsr
cut3dr5	Drow Warrior	Slot 592	agrandbr
cut3dr6	Drow Warrior	Slot 592	agrandbr
cut3dr7	Drow Warrior	Slot 592	agrandbr
cut3dr8	Drow Warrior	Slot 592	agrandbr
cut3dr9	Drow Warrior	Slot 592	agrandbr
cut4dr1	Drow Warrior	Slot 592	agrandrb
cut4dr10	Drow Warrior	Slot 592	agrandbr
cut4dr11	Drow Warrior	Slot 592	agrandrb
